Algo Name : ALL Results averaged from 20 test cycles and if error - no results printed, Total Time , Average Small, Average Big, Average Super Big,  SMALL Avrg RAND_with_Repeats, SMALL Avrg REV_SORTED, SMALL Avrg RAND_NO_REPEATS_SHUFFLED, SMALL Avrg SORTED, SMALL Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SMALL Avrg ONE_NUMBER, SMALL Avrg ONLY_ZEROES, BIG Avrg RAND_with_Repeats, BIG Avrg REV_SORTED, BIG Avrg RAND_NO_REPEATS_SHUFFLED, BIG Avrg SORTED, BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, BIG Avrg ONE_NUMBER, BIG Avrg ONLY_ZEROES, SUP BIG Avrg RAND_with_Repeats, SUP BIG Avrg REV_SORTED, SUP BIG Avrg RAND_NO_REPEATS_SHUFFLED, SUP BIG Avrg SORTED, SUP BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SUP BIG Avrg ONE_NUMBER, SUP BIG Avrg ONLY_ZEROES, 
RusevUltraBasedOn4Rusev,1087568682,31852,3700929,110637272,91805,2472,92621,1893,30371,1903,1898,8819262,236839,12504471,184395,3794270,183913,183350,268146565,5854914,375883311,4626556,110485130,4718826,4745603,
RusevUltraBasedOn4Rusev ALIGNED,1086050084,30269,3749205,109856833,80069,2454,94007,1925,29632,1905,1894,8868178,233310,12776747,185875,3809445,185440,185442,265716114,5924222,375562342,4687631,107794026,4697739,4615756,
RusevUltraBasedOn4RusevV2,1103149776,28799,3794950,111765416,81931,2472,82790,1918,28648,1909,1927,8969911,240164,12907315,190351,3880937,187865,188105,268284066,5987059,379993917,4703697,113862845,4786014,4740315,
RusevUltraBasedOn4RusevV2 ALIGNED,1107578650,26154,3777293,112636445,63053,2474,83022,1983,28682,1938,1927,8854016,244997,12875803,193014,3892905,189765,190550,271876020,5977955,385403817,4722798,111015764,4732505,4726257,
svpv_stdlib_isort Critical error in OUTPUT RESULT! Number of wrong arrays: 8  out of total : 322,
svpv_stdlib_isort Critical error in OUTPUT RESULT! Number of wrong arrays: 8  out of total : 322 ALIGNED,
QuickSortDualPivot_Yaroslavskiy,707966204,17242,2347988,72789733,45768,7193,40823,7901,14726,2164,2117,5385391,1121382,6873048,1112722,1455551,244253,243571,150796999,38082291,210264152,38414640,54816139,8568935,8584979,
QuickSortDualPivot_Yaroslavskiy ALIGNED,703184248,16034,2348783,72109134,38482,7070,39884,8106,14548,2114,2036,5332894,1174681,6862052,1112804,1480110,241200,237738,149145451,37881150,209071497,37554603,54055422,8572996,8482824,
QuickSortDualPivot_Qsort3_aumueller This Algorithm is TOO SLOW!,
QuickSortDualPivot_Qsort3_aumueller This Algorithm is TOO SLOW! ALIGNED,
