Algo Name : ALL Results averaged from 20 test cycles and if error - no results printed, Total Time , Average Small, Average Big, Average Super Big,  SMALL Avrg RAND_with_Repeats, SMALL Avrg REV_SORTED, SMALL Avrg RAND_NO_REPEATS_SHUFFLED, SMALL Avrg SORTED, SMALL Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SMALL Avrg ONE_NUMBER, SMALL Avrg ONLY_ZEROES, BIG Avrg RAND_with_Repeats, BIG Avrg REV_SORTED, BIG Avrg RAND_NO_REPEATS_SHUFFLED, BIG Avrg SORTED, BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, BIG Avrg ONE_NUMBER, BIG Avrg ONLY_ZEROES, SUP BIG Avrg RAND_with_Repeats, SUP BIG Avrg REV_SORTED, SUP BIG Avrg RAND_NO_REPEATS_SHUFFLED, SUP BIG Avrg SORTED, SUP BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SUP BIG Avrg ONE_NUMBER, SUP BIG Avrg ONLY_ZEROES, 
QuickSortDualPivotMerge,1044853957,28568,3473544,107296634,89346, 2588, 71182, 1963, 30927, 1963, 2008, 7796168, 243709, 11675434, 189820, 4026912, 190861, 191902, 252106023, 6123042, 361219806, 4765888, 117154070, 4910484, 4797127, 
QuickSortDualPivotMerge ALIGNED ,1046825662,24188,3489329,107432687,52170, 2588, 74842, 2499, 33293, 2008, 1918, 7749048, 276771, 11871763, 191568, 3951750, 190973, 193427, 250700223, 6147588, 363685982, 4785524, 117121045, 4843541, 4744912, 
QuickSortDualPivotMerge,1053184791,30570,3490832,108259273,103940, 2633, 71093, 1963, 30526, 1919, 1919, 7992869, 241998, 11657918, 189820, 3972502, 190340, 190378, 256381442, 6114117, 362727361, 4810516, 118129205, 4881922, 4770350, 
QuickSortDualPivotMerge ALIGNED ,1061148313,24316,3497776,109376135,51189, 2900, 72253, 2186, 37398, 2052, 2231, 7754813, 245606, 11819473, 193539, 4073846, 201758, 195398, 257014723, 6136432, 368679030, 4841756, 119261879, 4878351, 4820780, 
QuickSortDualPivotMerge,1057938625,28479,3507637,108757647,89569, 2543, 70602, 2052, 30525, 2053, 2008, 8062378, 239804, 11710840, 191754, 3966180, 191828, 190675, 254063880, 6084662, 364933798, 4890401, 121480812, 4974749, 4875227, 
QuickSortDualPivotMerge ALIGNED ,1048877238,23143,3454465,108154587,51233, 2633, 71450, 1919, 30615, 2052, 2097, 7776234, 240548, 11649215, 190154, 3944461, 190749, 189894, 251360279, 6020843, 366791686, 4867194, 118413490, 4785524, 4843095, 
QuickSortDualPivotMerge,1055856703,23009,3469936,108967337,52036, 2454, 70066, 1963, 30437, 2142, 1963, 7786647, 241961, 11702137, 189894, 3985705, 190043, 193167, 255587054, 6318070, 364662456, 4856929, 121728054, 4740003, 4878798, 
QuickSortDualPivotMerge ALIGNED ,1045429671,23149,3459294,107604061,51322, 2588, 71629, 1963, 30481, 2052, 2008, 7777499, 242184, 11655723, 194134, 3962126, 190675, 192721, 255693269, 6057439, 360259399, 4750267, 116834976, 4853806, 4779276, 
QuickSortDualPivotMerge,1052430564,23085,3470515,108470175,51992, 2499, 70334, 2008, 30793, 2008, 1963, 7800073, 244081, 11698864, 191010, 3975626, 193650, 190303, 255490209, 6171688, 363130803, 4740895, 120161591, 4743573, 4852467, 
QuickSortDualPivotMerge ALIGNED ,1046413290,23296,3456038,107782193,51412, 2409, 72744, 1963, 30525, 1963, 2052, 7764110, 240548, 11666806, 190750, 3946171, 191419, 192460, 253437294, 6052083, 363769885, 4760086, 116758215, 4836847, 4860947, 
