Algo Name : ALL Results averaged from 20 test cycles and if error - no results printed, Total Time , Average Small, Average Big, Average Super Big,  SMALL Avrg RAND_with_Repeats, SMALL Avrg REV_SORTED, SMALL Avrg RAND_NO_REPEATS_SHUFFLED, SMALL Avrg SORTED, SMALL Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SMALL Avrg ONE_NUMBER, SMALL Avrg ONLY_ZEROES, BIG Avrg RAND_with_Repeats, BIG Avrg REV_SORTED, BIG Avrg RAND_NO_REPEATS_SHUFFLED, BIG Avrg SORTED, BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, BIG Avrg ONE_NUMBER, BIG Avrg ONLY_ZEROES, SUP BIG Avrg RAND_with_Repeats, SUP BIG Avrg REV_SORTED, SUP BIG Avrg RAND_NO_REPEATS_SHUFFLED, SUP BIG Avrg SORTED, SUP BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SUP BIG Avrg ONE_NUMBER, SUP BIG Avrg ONLY_ZEROES, 
QuickSortDualPivotRusevMerge,979298130,24915,3213380,101090009,69486, 2499, 64800, 2097, 31730, 1874, 1918, 6914307, 242556, 10697213, 190266, 4065181, 193018, 191121, 229981845, 6087787, 335069684, 4836400, 121943165, 4750714, 4960468, 
QuickSortDualPivotRusevMerge ALIGNED ,968764891,21408,3189499,99906904,45476, 2410, 64488, 2008, 31463, 2052, 1963, 6792806, 239209, 10617699, 189894, 4105718, 190973, 190192, 229867596, 6041819, 331150846, 4822566, 117943103, 4714564, 4807838, 
QuickSortDualPivotRusevMerge,984306361,26222,3201442,101935657,77564, 2543, 65470, 1963, 32177, 1919, 1919, 6862910, 243411, 10641910, 190192, 4090359, 190489, 190824, 239101698, 6140448, 331235195, 4777491, 122575106, 4823458, 4896203, 
QuickSortDualPivotRusevMerge ALIGNED ,976105856,21300,3189605,100955421,43825, 2588, 64756, 2052, 31909, 2053, 1919, 6866480, 239767, 10605501, 190378, 4042643, 190712, 191754, 229686850, 6073505, 333865603, 4787309, 122596973, 4835954, 4841756, 
QuickSortDualPivotRusevMerge,979207088,21504,3190997,101379711,46190, 2499, 64398, 2052, 31374, 2008, 2008, 6833790, 240399, 10642059, 190601, 4048259, 190378, 191494, 231369794, 6210068, 333726362, 4816764, 120690440, 4903343, 7941211, 
QuickSortDualPivotRusevMerge ALIGNED ,984039482,22435,3190211,102070180,48511, 2633, 66675, 2097, 32891, 2142, 2097, 6837397, 240101, 10642766, 189783, 4042085, 189708, 189634, 235558634, 6010579, 339730694, 4735540, 118785692, 4882815, 4787310, 
QuickSortDualPivotRusevMerge,980780246,21600,3248552,100912833,44494, 2900, 65782, 2052, 31865, 2142, 1963, 7174603, 240994, 10686576, 190638, 4066482, 189931, 190638, 231445663, 6108315, 331869366, 4751160, 122563502, 4793110, 4858715, 
QuickSortDualPivotRusevMerge ALIGNED ,978949137,21466,3222890,100960521,43646, 2544, 65291, 1918, 32935, 1963, 1963, 6934427, 240399, 10711866, 190229, 4101107, 191679, 190526, 230620926, 6141341, 332595474, 4856037, 122740231, 4912715, 4856929, 
QuickSortDualPivotRusevMerge,991571885,21345,3213083,102882675,44673, 2454, 64577, 2053, 31730, 1919, 2008, 6855286, 241738, 10651878, 190489, 4167343, 190043, 194803, 236908649, 6193110, 334318137, 4823458, 128449567, 4756069, 4729739, 
QuickSortDualPivotRusevMerge ALIGNED ,978143593,21077,3279277,100172700,43289, 2365, 64399, 1919, 31597, 2053, 1919, 6770826, 238874, 11343249, 189671, 4030147, 191493, 190675, 228674227, 6210961, 331317758, 4741788, 120668572, 4746251, 4849343, 
QuickSortDualPivotRusevMerge,986017860,22588,3224777,101936485,54134, 2543, 64175, 2008, 31329, 1963, 1963, 6975374, 239953, 10710936, 191419, 4072656, 192609, 190489, 231223859, 6042711, 336259482, 4779276, 125555403, 4852466, 4842203, 
QuickSortDualPivotRusevMerge ALIGNED ,967642485,21058,3170208,99981562,42754, 2409, 64845, 2008, 31552, 1963, 1874, 6780979, 240101, 10567604, 189969, 4033197, 189932, 189671, 229144166, 5985141, 329600450, 4726614, 120690886, 4831492, 4892186, 
QuickSortDualPivotRusevMerge,974948631,21498,3202616,100631992,45833, 2499, 64622, 2097, 31552, 1963, 1919, 6897200, 239915, 10656898, 190973, 4051941, 190787, 190601, 230852103, 6218548, 332169717, 4756962, 120554323, 4841756, 5030535, 
QuickSortDualPivotRusevMerge ALIGNED ,976204033,21396,3193048,100927178,44316, 2588, 65246, 2008, 31641, 2097, 1874, 6841860, 240585, 10651245, 191382, 4045432, 190155, 190675, 231928544, 6019504, 334088300, 4747144, 120169178, 4752499, 4785078, 
QuickSortDualPivotRusevMerge,981829461,21848,3190811,101753126,49002, 2499, 64086, 2008, 31507, 2008, 1829, 6885075, 240362, 10600852, 189448, 4038924, 189634, 191382, 242090921, 6065026, 330627353, 4753392, 119194936, 4761425, 4778830, 
QuickSortDualPivotRusevMerge ALIGNED ,980750791,21109,3348663,99712196,43066, 2410, 64533, 2008, 31686, 2008, 2053, 7338390, 243039, 11241496, 192758, 4044280, 189894, 190787, 229784587, 6088233, 329932486, 4758746, 117881517, 4821227, 4718581, 
QuickSortDualPivotRusevMerge,978123062,26809,3243351,100543563,81714, 2588, 65157, 2097, 32043, 1963, 2097, 7206476, 240920, 10640051, 191419, 4040114, 193055, 191419, 231675947, 6251573, 330526047, 4823905, 121034972, 4748036, 4744466, 
QuickSortDualPivotRusevMerge ALIGNED ,972074548,21236,3189398,100382645,43378, 2543, 65068, 1919, 31775, 2097, 1874, 6817798, 240250, 10648270, 191419, 4045544, 191419, 191084, 230494181, 6002991, 332196941, 4805606, 119510907, 4913161, 4754730, 
QuickSortDualPivotRusevMerge,969441019,21109,3178549,100137889,44093, 2410, 63640, 2052, 31507, 2008, 2052, 6797231, 238986, 10615059, 190117, 4028697, 190043, 189708, 229035272, 6026645, 331143260, 4727507, 120288782, 4795789, 4947972, 
QuickSortDualPivotRusevMerge ALIGNED ,972959984,21243,3218863,100155485,44004, 2454, 64488, 1918, 31641, 2142, 2052, 6776219, 243746, 10905405, 194617, 4031338, 190787, 189931, 229307507, 6128398, 331133887, 4776598, 120170071, 4775705, 4796235, 
QuickSortDualPivotRusevMerge,978887989,21612,3198377,101244487,46770, 2543, 64309, 2008, 31730, 1963, 1963, 6845096, 241329, 10660320, 190898, 4068937, 191456, 190601, 232845216, 6220779, 333681288, 4875673, 121521425, 4760086, 4806945, 
QuickSortDualPivotRusevMerge ALIGNED ,971945118,21147,3190067,100357016,43289, 2454, 64666, 2008, 31775, 2008, 1829, 6839182, 240176, 10637262, 192088, 4039705, 191010, 191047, 231517515, 6208284, 331718522, 4914947, 118596913, 4752498, 4790433, 
QuickSortDualPivotRusevMerge,972651155,21281,3188255,100478278,45119, 2543, 64131, 1963, 31329, 1963, 1919, 6886154, 239729, 10587650, 190266, 4033569, 189857, 190564, 233792235, 6102068, 328862292, 4743573, 120344568, 4757408, 4745805, 
QuickSortDualPivotRusevMerge ALIGNED ,964427883,21102,3174367,99471967,42888, 2588, 64711, 1919, 31775, 2008, 1829, 6789012, 239283, 10581662, 191159, 4039668, 189708, 190080, 227990071, 6078861, 327984894, 4742234, 118357703, 6224350, 4925657, 
QuickSortDualPivotRusevMerge,971058802,21861,3225685,99795843,44539, 2499, 68192, 1919, 31954, 2008, 1919, 6803703, 241366, 10911913, 190898, 4048817, 191568, 191531, 229467277, 6086001, 330061016, 4870764, 118597359, 4741342, 4747144, 
QuickSortDualPivotRusevMerge ALIGNED ,964152083,21051,3183113,99328135,43066, 2543, 64220, 1874, 31686, 1963, 2008, 6819583, 240399, 10613534, 190266, 4034833, 190787, 192386, 228672442, 6036463, 328316038, 4833277, 117876161, 4741341, 4821227, 
QuickSortDualPivotRusevMerge,977777636,21294,3195407,101124691,45610, 2454, 63595, 1919, 31463, 2142, 1874, 6918807, 239060, 10598770, 189783, 4041676, 189671, 190080, 239035647, 6001653, 328064779, 4789541, 120311543, 4717689, 4951988, 
QuickSortDualPivotRusevMerge ALIGNED ,990631113,21230,3186279,103071072,43111, 2677, 64934, 1963, 31819, 1919, 2186, 6829141, 241031, 10616918, 189783, 4045730, 189931, 191419, 230708399, 6016381, 345086124, 4732862, 125352343, 4788202, 4813194, 
QuickSortDualPivotRusevMerge,998843675,21358,3301601,102859150,44985, 2588, 64399, 2008, 31641, 1874, 2008, 7009106, 268515, 10968852, 216039, 4263555, 190117, 195026, 241808422, 6155176, 337451065, 4761871, 120307973, 4769904, 4759640, 
QuickSortDualPivotRusevMerge ALIGNED ,970774971,21332,3174123,100379330,43602, 2588, 64443, 2008, 32801, 1963, 1919, 6790240, 239841, 10586868, 189485, 4032676, 189745, 190006, 231105593, 5996298, 332092956, 4814086, 119132010, 4739557, 4774813, 
QuickSortDualPivotRusevMerge,976491003,25400,3194605,100909454,73369, 2410, 64399, 2008, 31641, 2008, 1963, 6834162, 242258, 10661770, 190750, 4052536, 190118, 190638, 231455481, 6054315, 333911125, 4855145, 120356172, 4910484, 4823458, 
QuickSortDualPivotRusevMerge ALIGNED ,971295331,21326,3190189,100260936,44584, 2454, 64845, 1963, 31418, 2008, 2008, 6829699, 239767, 10661063, 192832, 4027544, 189894, 190526, 230441073, 6107423, 332153205, 4763209, 118803989, 4758300, 4799359, 
QuickSortDualPivotRusevMerge,982343591,21294,3197946,101746495,44718, 2588, 64354, 2053, 31373, 1919, 2052, 6850154, 240548, 10640237, 189857, 4083330, 190712, 190787, 233104061, 6189539, 331085242, 4953327, 127315555, 4806054, 4771689, 
QuickSortDualPivotRusevMerge ALIGNED ,983428956,22001,3180626,102102312,49582, 2588, 64443, 2008, 31374, 2008, 2008, 6786260, 241849, 10603790, 194469, 4052276, 193093, 192646, 231051146, 10802351, 337508636, 5577681, 120249063, 4792218, 4735093, 
QuickSortDualPivotRusevMerge,995031949,27478,3299179,102282484,84928, 2588, 67210, 2097, 31552, 2142, 1829, 7200897, 252858, 10814400, 194841, 4232873, 198820, 199564, 233027300, 6169456, 342084851, 4927889, 120204435, 4776152, 4787309, 
QuickSortDualPivotRusevMerge ALIGNED ,1005415230,21415,3180228,105253856,42888, 2410, 67210, 1919, 31597, 1918, 1963, 6795781, 239246, 10626551, 189708, 4030445, 190043, 189820, 252662542, 6236846, 343028746, 4946633, 120295923, 4733308, 4872996, 
QuickSortDualPivotRusevMerge,989682316,27146,3259029,102003364,85686, 2499, 64309, 2052, 31596, 1919, 1963, 7276282, 239767, 10671737, 191196, 4051309, 191717, 191196, 233211616, 6216763, 339186224, 4876566, 120938575, 4741342, 4852467, 
QuickSortDualPivotRusevMerge ALIGNED ,970742385,27274,3172407,100335849,43200, 3704, 97156, 2454, 39496, 2052, 2856, 6799017, 246424, 10572290, 196663, 4012333, 189597, 190526, 231811171, 6004777, 330584509, 4723936, 119592131, 4830599, 4803821, 
