Algo Name : ALL Results averaged from 20 test cycles and if error - no results printed, Total Time , Average Small, Average Big, Average Super Big,  SMALL Avrg RAND_with_Repeats, SMALL Avrg REV_SORTED, SMALL Avrg RAND_NO_REPEATS_SHUFFLED, SMALL Avrg SORTED, SMALL Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SMALL Avrg ONE_NUMBER, SMALL Avrg ONLY_ZEROES, BIG Avrg RAND_with_Repeats, BIG Avrg REV_SORTED, BIG Avrg RAND_NO_REPEATS_SHUFFLED, BIG Avrg SORTED, BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, BIG Avrg ONE_NUMBER, BIG Avrg ONLY_ZEROES, SUP BIG Avrg RAND_with_Repeats, SUP BIG Avrg REV_SORTED, SUP BIG Avrg RAND_NO_REPEATS_SHUFFLED, SUP BIG Avrg SORTED, SUP BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SUP BIG Avrg ONE_NUMBER, SUP BIG Avrg ONLY_ZEROES, 
QuickSortDualPivotRusevMerge_3rd_merge_improve,918597448,21160,3042766,94503402,48957, 2945, 62301, 2142, 27759, 2008, 2008, 6484646, 239171, 10242745, 189745, 3763380, 189931, 189745, 218032986, 6004777, 313157044, 4780169, 110012156, 4812747, 4723936, 
QuickSortDualPivotRusevMerge_3rd_merge_improve ALIGNED ,911970555,19075,3023534,93808344,38246, 2543, 59802, 1963, 27223, 1829, 1919, 6415917, 242184, 10187889, 191196, 3747723, 189969, 189857, 213672773, 6072612, 314053633, 4756962, 108446140, 4833723, 4822566, 
QuickSortDualPivotRusevMerge_3rd_merge_improve,909560601,19311,3025834,93434101,39987, 2499, 59846, 1918, 27134, 1874, 1918, 6428042, 239134, 10179818, 197072, 3757058, 189485, 190229, 214108794, 5999421, 312393896, 4728400, 107308110, 4782400, 4717689, 
QuickSortDualPivotRusevMerge_3rd_merge_improve ALIGNED ,909751170,19011,3028156,93436460,38202, 2543, 59534, 1963, 27134, 1829, 1874, 6429381, 239469, 10204625, 189745, 3754454, 190043, 189374, 213572805, 6164548, 312883471, 4739557, 107064438, 4738218, 4892186, 
QuickSortDualPivotRusevMerge_3rd_merge_improve,938277322,24781,3140057,96111115,71673, 2499, 66050, 2008, 27357, 1963, 1918, 6790054, 240994, 10380796, 197184, 3969229, 198560, 203580, 224957112, 6043158, 317241900, 4727060, 110133101, 4910931, 4764548, 
QuickSortDualPivotRusevMerge_3rd_merge_improve ALIGNED ,913909657,19043,3035381,93943504,38692, 2499, 59490, 1919, 26732, 1919, 2052, 6486505, 239953, 10151702, 189560, 3800608, 189634, 189708, 216554440, 5973090, 313741233, 4760978, 107025612, 4735986, 4813193, 
QuickSortDualPivotRusevMerge_3rd_merge_improve,933582840,22499,3149971,95344332,59980, 2588, 60739, 2008, 28160, 2008, 2008, 6504877, 291982, 10397197, 279151, 4155665, 209717, 211204, 218122243, 6059224, 313710439, 4763210, 113723024, 6093588, 4938600, 
QuickSortDualPivotRusevMerge_3rd_merge_improve ALIGNED ,930636456,20605,3072237,95875158,40344, 2900, 63506, 2186, 30570, 2499, 2231, 6545266, 243746, 10312923, 197481, 3820207, 193353, 192683, 218447139, 6302896, 320722037, 4803822, 111163575, 4878352, 4808285, 
QuickSortDualPivotRusevMerge_3rd_merge_improve,932002984,19145,3179064,94803051,38960, 2454, 59623, 1829, 27178, 1874, 2097, 7461714, 240808, 10186215, 189969, 3794322, 190155, 190266, 220691958, 6174812, 313608240, 4886831, 108665712, 4829706, 4764102, 
QuickSortDualPivotRusevMerge_3rd_merge_improve ALIGNED ,911023536,19158,3022896,93679877,38648, 2543, 59802, 1874, 27312, 1963, 1963, 6433137, 239916, 10157281, 190341, 3756462, 192460, 190675, 214591229, 6074844, 313401163, 4815871, 107223763, 4769904, 4882368, 
QuickSortDualPivotRusevMerge_3rd_merge_improve,951770328,20510,3076169,98848059,44271, 2722, 61007, 2142, 29053, 2142, 2231, 6438120, 245680, 10366589, 198559, 3898753, 190303, 195175, 233705655, 6156960, 328378519, 4762763, 109127172, 4824797, 4980550, 
QuickSortDualPivotRusevMerge_3rd_merge_improve ALIGNED ,920496856,19158,3018295,95088419,39764, 2365, 59133, 1874, 27000, 2008, 1963, 6463149, 239246, 10133293, 189336, 3722136, 190861, 190043, 215505223, 6131969, 320099022, 4809624, 109319968, 4836400, 4916732, 
QuickSortDualPivotRusevMerge_3rd_merge_improve,933032123,20337,3115383,95702317,41906, 2633, 63461, 2053, 28339, 1963, 2008, 6610238, 243262, 10476338, 193502, 3892022, 201684, 190638, 220865116, 6100282, 319206450, 4893079, 109131188, 4814979, 4905129, 
QuickSortDualPivotRusevMerge_3rd_merge_improve ALIGNED ,932253788,19247,3079431,96033461,40121, 2543, 59222, 2052, 26955, 1829, 2008, 6556125, 247688, 10321961, 195473, 3843860, 195361, 195547, 220117141, 6207837, 324009825, 5045708, 107234027, 4780168, 4839525, 
