Algo Name : ALL Results averaged from 20 test cycles and if error - no results printed, Total Time , Average Small, Average Big, Average Super Big,  SMALL Avrg RAND_with_Repeats, SMALL Avrg REV_SORTED, SMALL Avrg RAND_NO_REPEATS_SHUFFLED, SMALL Avrg SORTED, SMALL Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SMALL Avrg ONE_NUMBER, SMALL Avrg ONLY_ZEROES, BIG Avrg RAND_with_Repeats, BIG Avrg REV_SORTED, BIG Avrg RAND_NO_REPEATS_SHUFFLED, BIG Avrg SORTED, BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, BIG Avrg ONE_NUMBER, BIG Avrg ONLY_ZEROES, SUP BIG Avrg RAND_with_Repeats, SUP BIG Avrg REV_SORTED, SUP BIG Avrg RAND_NO_REPEATS_SHUFFLED, SUP BIG Avrg SORTED, SUP BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SUP BIG Avrg ONE_NUMBER, SUP BIG Avrg ONLY_ZEROES, 
QuickSortDualPivot_Yaroslavskiy,697631478,15715,2317026,71700168,39094, 6872, 39273, 6917, 14013, 1874, 1963, 5282091, 1113706, 6794629, 1107830, 1424209, 246052, 250663, 148186562, 37864237, 207333281, 37500514, 53863586, 8525846, 8627153, 
QuickSortDualPivot_Yaroslavskiy ALIGNED ,704294958,15658,2329793,72499466,35792, 7140, 39451, 8880, 14236, 2008, 2097, 5362348, 1107086, 6820104, 1097491, 1442991, 240101, 238428, 150467975, 38281067, 207348009, 37939659, 53959985, 10742102, 8757468, 
QuickSortDualPivot_Yaroslavskiy,703739782,15594,2329904,72419453,36907, 6917, 39407, 8167, 13745, 2008, 2008, 5369191, 1120884, 6783397, 1115677, 1428003, 245085, 247093, 148558318, 40848996, 208212911, 37601374, 54334418, 8647236, 8732923, 
QuickSortDualPivot_Yaroslavskiy ALIGNED ,704224018,21211,2381774,71810018,74440, 6962, 39496, 9148, 13879, 2231, 2320, 5678207, 1117314, 6829811, 1107309, 1449797, 247242, 242742, 148163355, 37882980, 207976379, 37729012, 54136714, 8427217, 8354473, 
QuickSortDualPivot_Yaroslavskiy,713697317,15970,2319369,73964623,36461, 7185, 40522, 8345, 14638, 2409, 2231, 5286926, 1125049, 6786781, 1119433, 1429676, 241849, 245866, 148211553, 37710267, 208102678, 52501522, 53861802, 8668658, 8695881, 
QuickSortDualPivot_Yaroslavskiy ALIGNED ,698072406,15651,2320798,71718530,38380, 6917, 39362, 6917, 13924, 2097, 1963, 5288599, 1115194, 6805971, 1110433, 1440722, 251482, 233184, 148095073, 38203860, 207770195, 37505869, 53640890, 8339299, 8474524, 
QuickSortDualPivot_Yaroslavskiy,711877807,15632,2340774,73451202,36550, 7051, 39585, 7497, 14102, 2365, 2276, 5438812, 1119061, 6796637, 1111475, 1434214, 241849, 243374, 148082131, 38012850, 215360179, 37621010, 56863967, 9125208, 9093075, 
QuickSortDualPivot_Yaroslavskiy ALIGNED ,700130667,16754,2353297,71611548,36372, 6961, 39228, 8077, 22001, 2677, 1964, 5562619, 1118243, 6795967, 1099016, 1421606, 240585, 235044, 147935749, 37904402, 207482786, 37448744, 53648477, 8546821, 8313860, 
QuickSortDualPivot_Yaroslavskiy,703884833,15696,2320426,72552893,35747, 7185, 39987, 8479, 14013, 2142, 2320, 5298306, 1111028, 6808314, 1098197, 1441429, 242779, 242928, 147982162, 37866914, 209994037, 40063534, 55000277, 8515582, 8447747, 
QuickSortDualPivot_Yaroslavskiy ALIGNED ,698908738,15613,2319916,71848972,36506, 6962, 39897, 7542, 14638, 1963, 1785, 5306376, 1124900, 6801658, 1100392, 1428970, 238948, 238168, 148529310, 37816037, 207916130, 38453333, 53604294, 8356258, 8267447, 
QuickSortDualPivot_Yaroslavskiy,703621958,20031,2316181,72522928,67166, 7140, 39674, 8568, 13834, 1963, 1874, 5288636, 1116198, 6788045, 1111177, 1427073, 242072, 240064, 148443176, 37883873, 209542843, 37399653, 56514525, 8961421, 8915008, 
QuickSortDualPivot_Yaroslavskiy ALIGNED ,696943748,15441,2314731,71632205,35792, 6872, 39451, 8300, 13834, 1918, 1919, 5311062, 1108537, 6786000, 1102214, 1420602, 234598, 240101, 148214677, 37809343, 207364967, 37667424, 53596261, 8393299, 8379465, 
