Algo Name : ALL Results averaged from 20 test cycles and if error - no results printed, Total Time , Average Small, Average Big, Average Super Big,  SMALL Avrg RAND_with_Repeats, SMALL Avrg REV_SORTED, SMALL Avrg RAND_NO_REPEATS_SHUFFLED, SMALL Avrg SORTED, SMALL Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SMALL Avrg ONE_NUMBER, SMALL Avrg ONLY_ZEROES, BIG Avrg RAND_with_Repeats, BIG Avrg REV_SORTED, BIG Avrg RAND_NO_REPEATS_SHUFFLED, BIG Avrg SORTED, BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, BIG Avrg ONE_NUMBER, BIG Avrg ONLY_ZEROES, SUP BIG Avrg RAND_with_Repeats, SUP BIG Avrg REV_SORTED, SUP BIG Avrg RAND_NO_REPEATS_SHUFFLED, SUP BIG Avrg SORTED, SUP BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SUP BIG Avrg ONE_NUMBER, SUP BIG Avrg ONLY_ZEROES, 
RusevMergeSort32basedOn2,1039226752,23417,3394997,107486816,53018, 2543, 64354, 2052, 38112, 1919, 1919, 7610662, 240622, 10805809, 190675, 4534674, 190378, 192163, 253762190, 6125275, 344240859, 4761870, 133884884, 4880136, 4752499, 
RusevMergeSort32basedOn2 ALIGNED ,1065459878,22480,3436566,110744958,49180, 2588, 63328, 2008, 36104, 2053, 2097, 7586600, 252151, 11065213, 201237, 4570786, 190154, 189820, 250866687, 6324318, 351773272, 4849789, 151788089, 4783739, 4828814, 
RusevMergeSort32basedOn2,1057129504,21912,3408567,109896568,48466, 2454, 62435, 1874, 34364, 1874, 1919, 7638220, 242519, 10818454, 189894, 4591091, 189745, 190043, 252395663, 6272548, 357523220, 5129164, 138361578, 4750714, 4843095, 
RusevMergeSort32basedOn2 ALIGNED ,1066105208,22333,3409337,111165359,49671, 2454, 63461, 1829, 34989, 1918, 2008, 7679465, 241254, 10795619, 191345, 4573910, 191754, 192014, 256393939, 6074844, 352702886, 4795788, 147285957, 4785970, 6118133, 
RusevMergeSort32basedOn2,1038796977,29187,3406766,107226503,95638, 2499, 63104, 2052, 37220, 1829, 1963, 7634092, 239134, 10836268, 190043, 4568071, 189597, 190155, 252011857, 6096265, 343186731, 4853806, 134713636, 4836847, 4886385, 
RusevMergeSort32basedOn2 ALIGNED ,1046835033,22231,3439456,108052069,48734, 2543, 63462, 2008, 34944, 2008, 1919, 7655625, 293581, 11039142, 190043, 4516785, 190155, 190861, 251659291, 6009240, 351221663, 4739111, 132988294, 4893971, 4852913, 
RusevMergeSort32basedOn2,1053756027,22091,3496745,108354714,49180, 2499, 62123, 1963, 34899, 2008, 1963, 7855190, 239878, 11236884, 191047, 4573277, 190712, 190229, 247883266, 6194002, 353296446, 4804714, 136731295, 4810516, 4762764, 
RusevMergeSort32basedOn2 ALIGNED ,1053059372,23079,3576184,107292043,49002, 2543, 66630, 2186, 37220, 2008, 1963, 7549298, 245308, 10913438, 196477, 5741356, 195212, 192200, 254374494, 6159638, 341996040, 4912269, 134077232, 4756069, 4768565, 
RusevMergeSort32basedOn2,1060930522,22327,3584903,108319394,48689, 2588, 63015, 2097, 35836, 1963, 2097, 8706666, 239469, 10785280, 274131, 4666663, 209828, 212283, 248777176, 6184630, 355706837, 4823011, 133212331, 4721705, 4810070, 
RusevMergeSort32basedOn2 ALIGNED ,1039951072,24666,3375839,107807695,48957, 2811, 71985, 2142, 42129, 2320, 2320, 7531037, 240324, 10808040, 190861, 4479297, 190080, 191233, 260099897, 6135539, 341767542, 4748036, 132115806, 4917178, 4869872, 
RusevMergeSort32basedOn2,1047070670,28893,3478049,107555990,95148, 2633, 63372, 2008, 35122, 2008, 1963, 7583848, 249957, 11234764, 200345, 4683547, 197072, 196812, 247922986, 6259160, 347559887, 4751160, 136629541, 4823458, 4945740, 
RusevMergeSort32basedOn2 ALIGNED ,1046819401,22084,3386390,108688090,49537, 2454, 62346, 1963, 34408, 2008, 1874, 7708994, 242742, 10715882, 189671, 4467545, 189597, 190303, 269435752, 6126613, 341058840, 4821227, 129924542, 4729292, 4720366, 
RusevMergeSort32basedOn2,1025875654,22167,3367487,105922137,49805, 2454, 62122, 2053, 34721, 2008, 2008, 7547736, 242072, 10735296, 189485, 4476173, 192051, 189597, 245498314, 6265408, 341535474, 4830152, 133760370, 4749375, 4815871, 
RusevMergeSort32basedOn2 ALIGNED ,1051214877,22250,3544078,107422104,50073, 2410, 62747, 1963, 34721, 1963, 1874, 8236392, 253453, 11188797, 198969, 4543711, 192163, 195064, 259390302, 5997190, 341641243, 4731077, 130693939, 4783293, 4717689, 
RusevMergeSort32basedOn2,1065248343,23251,3629367,108393414,49761, 2633, 66273, 1963, 38246, 1963, 1918, 8745418, 246982, 11014782, 201795, 4805718, 196328, 194543, 251100987, 6037356, 352285609, 4752052, 134212457, 5524573, 4840864, 
RusevMergeSort32basedOn2 ALIGNED ,1041222540,22971,3431497,107338394,49091, 2633, 65604, 2142, 36908, 2231, 2186, 7547364, 243746, 10972571, 192498, 4679121, 192460, 192721, 248050177, 6089571, 348602411, 4778830, 134241466, 4850681, 4755623, 
RusevMergeSort32basedOn2,1044062258,22645,3383814,108319521,54090, 2454, 61855, 1919, 34274, 2008, 1918, 7635357, 243560, 10734775, 190638, 4502801, 189931, 189634, 247746703, 5979785, 356112064, 4781507, 134037513, 4796235, 4782846, 
RusevMergeSort32basedOn2 ALIGNED ,1032707405,22429,3385960,106673810,49716, 2409, 63952, 1918, 34989, 1963, 2052, 7554839, 239915, 10828532, 192535, 4504735, 190638, 190526, 247967168, 6100729, 344810320, 4735986, 133344877, 4925657, 4831938, 
RusevMergeSort32basedOn2,1029925253,22320,3371302,106453345,51322, 2499, 62390, 1919, 34274, 1829, 2008, 7551901, 239358, 10740465, 189411, 4498599, 189931, 189448, 247753843, 6192217, 342179464, 4771243, 134611883, 4775706, 4889063, 
RusevMergeSort32basedOn2 ALIGNED ,1033663339,22314,3375595,106935907,49046, 2588, 62123, 1919, 36774, 1918, 1829, 7626988, 239358, 10723097, 189448, 4467136, 189931, 193204, 244142497, 6232383, 339541022, 4777044, 144283792, 4805160, 4769457, 
RusevMergeSort32basedOn2,1027168547,28249,3385381,105831286,93229, 2409, 62167, 1874, 34230, 1919, 1919, 7647629, 239543, 10743961, 189597, 4497669, 189485, 189783, 247018810, 6102067, 341374811, 4715457, 132074748, 4753838, 4779276, 
RusevMergeSort32basedOn2 ALIGNED ,1033106384,22072,3363763,107000747,49537, 2454, 62033, 1918, 34587, 2008, 1963, 7560195, 239097, 10719936, 189932, 4457727, 190080, 189374, 247334335, 5990942, 347306843, 4759639, 134000025, 4818103, 4795342, 
