Algo Name : ALL Results averaged from 20 test cycles and if error - no results printed, Total Time , Average Small, Average Big, Average Super Big,  SMALL Avrg RAND_with_Repeats, SMALL Avrg REV_SORTED, SMALL Avrg RAND_NO_REPEATS_SHUFFLED, SMALL Avrg SORTED, SMALL Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SMALL Avrg ONE_NUMBER, SMALL Avrg ONLY_ZEROES, BIG Avrg RAND_with_Repeats, BIG Avrg REV_SORTED, BIG Avrg RAND_NO_REPEATS_SHUFFLED, BIG Avrg SORTED, BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, BIG Avrg ONE_NUMBER, BIG Avrg ONLY_ZEROES, SUP BIG Avrg RAND_with_Repeats, SUP BIG Avrg REV_SORTED, SUP BIG Avrg RAND_NO_REPEATS_SHUFFLED, SUP BIG Avrg SORTED, SUP BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SUP BIG Avrg ONE_NUMBER, SUP BIG Avrg ONLY_ZEROES, 
RusevMergeSort32basedOn4_2,1082185780,27924,3574861,111420380,80019, 2811, 74619, 2008, 31998, 2008, 2008, 8505540, 242779, 11533590, 190154, 4158045, 193576, 200345, 266214906, 6115902, 361585315, 4856930, 131615965, 4806053, 4747590, 
RusevMergeSort32basedOn4_2 ALIGNED ,1043883294,23838,3449094,107498674,56946, 2499, 70066, 2052, 31463, 1829, 2008, 8014439, 240176, 11278017, 190229, 4039371, 189820, 191605, 257785904, 6585395, 351287267, 4885045, 122490758, 4721705, 4734647, 
RusevMergeSort32basedOn4_2,1042021837,29920,3462498,107011075,102065, 2633, 68281, 1874, 30793, 1919, 1874, 8236504, 238874, 11177974, 189820, 4015197, 189671, 189448, 258255397, 6173027, 350228231, 4806946, 120176765, 4719920, 4717242, 
RusevMergeSort32basedOn4_2 ALIGNED ,1047105477,23340,3441687,108052834,55384, 2499, 69040, 2008, 30659, 1919, 1874, 8003915, 239246, 11194561, 196105, 4076450, 189931, 191605, 260613571, 6059670, 353771741, 4797573, 121538383, 4777045, 4811855, 
RusevMergeSort32basedOn4_2,1042283804,24080,3446968,107293255,59713, 2633, 68594, 2008, 31686, 2008, 1919, 8088783, 239246, 11198912, 189485, 4031784, 189560, 191010, 258651698, 6183738, 349763647, 4803822, 121940933, 4833277, 4875674, 
RusevMergeSort32basedOn4_2 ALIGNED ,1049452503,23736,3478660,107940497,56723, 2454, 70513, 1874, 30659, 2052, 1874, 8074204, 239432, 11163172, 189708, 4289142, 201535, 193427, 255010006, 6239077, 356576202, 4949311, 122890184, 4984121, 4934583, 
RusevMergeSort32basedOn4_2,1100877565,24609,3584329,114010177,59043, 2588, 71137, 2052, 31016, 2052, 4373, 8089638, 247130, 11776481, 196254, 4392643, 194803, 193353, 273194371, 6162762, 373415015, 4987692, 131690942, 4339238, 4281221, 
RusevMergeSort32basedOn4_2 ALIGNED ,954240525,20981,3088059,99053542,51322, 2008, 61409, 1696, 26866, 1785, 1785, 7404776, 212618, 9918183, 168510, 3574601, 169328, 168398, 234654905, 5343381, 328660124, 4318262, 111756242, 4300858, 4341024, 
RusevMergeSort32basedOn4_2,909854704,21517,3038835,93298047,52929, 2231, 62792, 1785, 27446, 1740, 1695, 7109520, 211613, 9890811, 167505, 3556712, 167877, 167803, 223859249, 5293843, 306238720, 4192856, 105098549, 4219187, 4183931, 
RusevMergeSort32basedOn4_2 ALIGNED ,993472624,20631,3206335,103242318,49850, 2186, 60382, 1785, 26821, 1696, 1695, 7078652, 226081, 10740986, 179183, 3856021, 181861, 181564, 223146530, 5970859, 358258254, 4726168, 121033188, 4776152, 4785077, 
