Algo Name : ALL Results averaged from 20 test cycles and if error - no results printed, Total Time , Average Small, Average Big, Average Super Big,  SMALL Avrg RAND_with_Repeats, SMALL Avrg REV_SORTED, SMALL Avrg RAND_NO_REPEATS_SHUFFLED, SMALL Avrg SORTED, SMALL Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SMALL Avrg ONE_NUMBER, SMALL Avrg ONLY_ZEROES, BIG Avrg RAND_with_Repeats, BIG Avrg REV_SORTED, BIG Avrg RAND_NO_REPEATS_SHUFFLED, BIG Avrg SORTED, BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, BIG Avrg ONE_NUMBER, BIG Avrg ONLY_ZEROES, SUP BIG Avrg RAND_with_Repeats, SUP BIG Avrg REV_SORTED, SUP BIG Avrg RAND_NO_REPEATS_SHUFFLED, SUP BIG Avrg SORTED, SUP BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SUP BIG Avrg ONE_NUMBER, SUP BIG Avrg ONLY_ZEROES, 
RusevMergeSortBasedOn2_32StaticStacksNoOpt,1048213611,23124,3389562,108838807,54759, 2588, 63149, 1963, 35569, 1919, 1919, 7607575, 241068, 10792049, 189968, 4515632, 190155, 190489, 249716608, 6164101, 356742220, 4768118, 135042549, 4723490, 4714564, 
RusevMergeSortBasedOn2_32StaticStacksNoOpt ALIGNED ,1040317470,22569,3370850,107940880,49403, 2633, 64354, 2008, 35524, 2053, 2008, 7530777, 240622, 10751957, 189448, 4502467, 190341, 190341, 264145925, 6062794, 337656356, 4773475, 133252050, 4873442, 4822119, 
RusevMergeSortBasedOn2_32StaticStacksNoOpt,1035743036,22129,3368470,107320351,49939, 2365, 61989, 1918, 34721, 1963, 2008, 7542343, 239246, 10729197, 189634, 4487739, 189485, 201646, 243722096, 10162377, 350626764, 4778384, 132461232, 4771243, 4720366, 
RusevMergeSortBasedOn2_32StaticStacksNoOpt ALIGNED ,1046193710,23245,3473645,107540051,49225, 3258, 66541, 2052, 37532, 2008, 2097, 7536913, 243858, 11322534, 191568, 4629993, 191159, 199489, 246077593, 6081984, 355738076, 4895310, 130310580, 4843541, 4833276, 
RusevMergeSortBasedOn2_32StaticStacksNoOpt,1035758216,22116,3399529,106949934,49894, 2365, 61766, 1918, 35078, 1919, 1874, 7623976, 239097, 10835784, 189820, 4522884, 190266, 194878, 250162002, 6049852, 344568432, 4857823, 133265439, 4809177, 4936815, 
RusevMergeSortBasedOn2_32StaticStacksNoOpt ALIGNED ,1031917921,22760,3391326,106493319,50965, 2811, 63685, 2052, 36015, 1874, 1919, 7657002, 239804, 10766350, 189671, 4506334, 189671, 190452, 250352120, 6019504, 341275735, 4759193, 133396200, 4764102, 4886385, 
RusevMergeSortBasedOn2_32StaticStacksNoOpt,1026081847,22212,3381333,105785000,50251, 2499, 61855, 2008, 35033, 1874, 1963, 7597460, 240548, 10761515, 191940, 4497446, 190675, 189745, 243528854, 6045836, 337981252, 4734647, 138150037, 5198338, 4856037, 
RusevMergeSortBasedOn2_32StaticStacksNoOpt ALIGNED ,1026645062,23627,3375696,105918949,49493, 2722, 64979, 2499, 41192, 2454, 2052, 7554542, 239395, 10770404, 189932, 4493206, 191568, 190824, 247734206, 5997190, 339137579, 4743573, 130002642, 4740895, 9076563, 
RusevMergeSortBasedOn2_32StaticStacksNoOpt,1023612990,24048,3402090,105164854,61408, 2588, 62970, 2008, 35390, 1963, 2008, 7731234, 239506, 10762110, 190638, 4512359, 189336, 189448, 245355949, 6072612, 339044305, 4719474, 131329897, 4754730, 4877013, 
RusevMergeSortBasedOn2_32StaticStacksNoOpt ALIGNED ,1025742664,22511,3368730,105884777,50296, 2543, 62837, 1919, 35970, 1963, 2052, 7540781, 241217, 10736635, 190303, 4492611, 189448, 190117, 243030353, 6011917, 338783674, 4776598, 138837764, 4878351, 4874782, 
