Algo Name : ALL Results averaged from 20 test cycles and if error - no results printed, Total Time , Average Small, Average Big, Average Super Big,  SMALL Avrg RAND_with_Repeats, SMALL Avrg REV_SORTED, SMALL Avrg RAND_NO_REPEATS_SHUFFLED, SMALL Avrg SORTED, SMALL Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SMALL Avrg ONE_NUMBER, SMALL Avrg ONLY_ZEROES, BIG Avrg RAND_with_Repeats, BIG Avrg REV_SORTED, BIG Avrg RAND_NO_REPEATS_SHUFFLED, BIG Avrg SORTED, BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, BIG Avrg ONE_NUMBER, BIG Avrg ONLY_ZEROES, SUP BIG Avrg RAND_with_Repeats, SUP BIG Avrg REV_SORTED, SUP BIG Avrg RAND_NO_REPEATS_SHUFFLED, SUP BIG Avrg SORTED, SUP BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SUP BIG Avrg ONE_NUMBER, SUP BIG Avrg ONLY_ZEROES, 
RusevMergeSortBasedOn2_32StaticStacksOPTIMIZED,984569220,21307,3217418,101830652,51456, 2320, 57526, 1919, 32356, 1740, 1829, 7967096, 214812, 9786529, 171857, 4040263, 170778, 170592, 254206245, 5507168, 316726439, 4219187, 123367263, 4337453, 4450809, 
RusevMergeSortBasedOn2_32StaticStacksOPTIMIZED ALIGNED ,917927134,19885,2994509,94999481,43780, 2231, 56321, 1919, 31284, 1829, 1829, 6697264, 211762, 9569151, 167729, 3975775, 171299, 168584, 217039999, 6928143, 311684301, 4233468, 116605139, 4323618, 4181699, 
RusevMergeSortBasedOn2_32StaticStacksOPTIMIZED,1054097884,28995,3436178,109061312,95728, 2633, 63417, 2053, 35345, 1785, 2008, 7780437, 246126, 10873310, 190303, 4583207, 189894, 189969, 255386671, 6122596, 350573656, 4939492, 137230243, 4879691, 4296841, 
RusevMergeSortBasedOn2_32StaticStacksOPTIMIZED ALIGNED ,916470001,20012,3033910,94317237,44851, 2320, 56142, 1785, 31374, 1784, 1830, 6850712, 214254, 9554795, 167394, 4069123, 212655, 168435, 220532633, 5473697, 302741624, 4405289, 118596020, 4222311, 4249088, 
RusevMergeSortBasedOn2_32StaticStacksOPTIMIZED,927238873,26126,3063290,95441941,86445, 2186, 58106, 1696, 30972, 1740, 1740, 7041090, 215370, 9661569, 168398, 4018432, 168063, 170109, 219853832, 5338025, 310204416, 4321833, 119794745, 4292378, 4288362, 
RusevMergeSortBasedOn2_32StaticStacksOPTIMIZED ALIGNED ,926503405,19795,3009842,96041558,43334, 2231, 56589, 1785, 31106, 1740, 1785, 6731107, 228200, 9582986, 170109, 4016127, 171857, 168510, 217088645, 5447366, 304167953, 4206245, 132824955, 4299964, 4255782, 
RusevMergeSortBasedOn2_32StaticStacksOPTIMIZED,1012758865,21632,3268661,105239575,43869, 2499, 63595, 2231, 35301, 1919, 2008, 6686292, 240696, 10857987, 194134, 4522103, 189932, 189485, 246369910, 6096266, 346231741, 4789094, 124636947, 4297288, 4255783, 
RusevMergeSortBasedOn2_32StaticStacksOPTIMIZED ALIGNED ,928334508,23098,3097357,95219946,44137, 2766, 68370, 2276, 39496, 2320, 2320, 6798310, 215369, 10163603, 170146, 3991581, 171671, 170815, 224099351, 5458076, 306815321, 4205352, 117450404, 4273634, 4237485, 
RusevMergeSortBasedOn2_32StaticStacksOPTIMIZED,1029990412,21810,3360718,106594754,43869, 2588, 64666, 1963, 35479, 2053, 2053, 7205695, 240659, 10926046, 189560, 4580157, 193502, 189410, 248252791, 6182845, 343758424, 4804714, 133488582, 4835508, 4840417, 
RusevMergeSortBasedOn2_32StaticStacksOPTIMIZED ALIGNED ,1042807746,22626,3477964,107010692,49002, 2454, 65202, 2008, 35792, 1963, 1963, 7602592, 246610, 11079865, 198932, 4826842, 196365, 194543, 249133759, 6293970, 343162632, 4924765, 136371588, 4792218, 4395916, 
