Algo Name : ALL Results averaged from 20 test cycles and if error - no results printed, Total Time , Average Small, Average Big, Average Super Big,  SMALL Avrg RAND_with_Repeats, SMALL Avrg REV_SORTED, SMALL Avrg RAND_NO_REPEATS_SHUFFLED, SMALL Avrg SORTED, SMALL Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SMALL Avrg ONE_NUMBER, SMALL Avrg ONLY_ZEROES, BIG Avrg RAND_with_Repeats, BIG Avrg REV_SORTED, BIG Avrg RAND_NO_REPEATS_SHUFFLED, BIG Avrg SORTED, BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, BIG Avrg ONE_NUMBER, BIG Avrg ONLY_ZEROES, SUP BIG Avrg RAND_with_Repeats, SUP BIG Avrg REV_SORTED, SUP BIG Avrg RAND_NO_REPEATS_SHUFFLED, SUP BIG Avrg SORTED, SUP BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SUP BIG Avrg ONE_NUMBER, SUP BIG Avrg ONLY_ZEROES, 
RusevMergeSortBasedOn2_32StaticStacksOPTIMIZED_Dyn,1042988489,29754,3456999,107216813,102422, 2365, 62703, 2097, 34810, 2008, 1874, 7534868, 238874, 11367348, 189857, 4488409, 190006, 189634, 245417090, 6107869, 349543182, 4724383, 135068433, 4779276, 4877459, 
RusevMergeSortBasedOn2_32StaticStacksOPTIMIZED_Dyn ALIGNED ,988192617,22805,3465569,99355486,50430, 2543, 64800, 1963, 35926, 1963, 2008, 7559153, 338061, 10997229, 253378, 4668373, 230878, 211911, 248961939, 5708889, 309950926, 4339684, 118129651, 4219187, 4178129, 
RusevMergeSortBasedOn2_32StaticStacksOPTIMIZED_Dyn,965881443,26394,3093367,100598711,90640, 2320, 55562, 1785, 31061, 1696, 1695, 7399197, 211316, 9571122, 167580, 3969229, 167580, 167543, 223611560, 5275100, 328372716, 4190178, 133137354, 4858715, 4745358, 
RusevMergeSortBasedOn2_32StaticStacksOPTIMIZED_Dyn ALIGNED ,1029941773,22499,3427964,105773970,49850, 2544, 63685, 2008, 35345, 1963, 2097, 7962670, 239395, 10736114, 191121, 4476991, 198820, 190638, 246681864, 6036463, 340371113, 4820334, 132920013, 4771689, 4816317, 
RusevMergeSortBasedOn2_32StaticStacksOPTIMIZED_Dyn,1029562874,23283,3381221,106272918,51010, 2811, 67701, 2008, 35345, 2097, 2008, 7616464, 240176, 10760139, 189485, 4483351, 189411, 189522, 246240934, 6188647, 341451126, 4788202, 132399644, 4723044, 8118833, 
RusevMergeSortBasedOn2_32StaticStacksOPTIMIZED_Dyn ALIGNED ,957552839,23372,3191395,98262787,49939, 2766, 67121, 2052, 37309, 2097, 2320, 7539851, 217750, 9969841, 173084, 4094747, 172638, 171857, 247174118, 5480391, 306004866, 4297287, 116506510, 4199997, 4176344, 
RusevMergeSortBasedOn2_32StaticStacksOPTIMIZED_Dyn,909447246,19885,2987942,93866870,46012, 2186, 55116, 1829, 30704, 1695, 1651, 6642556, 212841, 9592134, 168882, 3963130, 168026, 168026, 215450775, 5644624, 302983064, 4276311, 120271377, 4181699, 4260245, 
RusevMergeSortBasedOn2_32StaticStacksOPTIMIZED_Dyn ALIGNED ,929148098,20433,2997893,96556381,43825, 2365, 57794, 1919, 33649, 1651, 1829, 6743901, 219014, 9544122, 168733, 3973023, 168324, 168138, 220027437, 5366141, 303714080, 4249535, 133913891, 4328081, 4295502, 
RusevMergeSortBasedOn2_32StaticStacksOPTIMIZED_Dyn,917428180,20548,2995062,94914941,45253, 2320, 58909, 1919, 31909, 1740, 1785, 6766884, 211539, 9507303, 167617, 3975068, 169365, 167654, 228601929, 5447366, 300108983, 4252212, 117571348, 4207584, 4215171, 
RusevMergeSortBasedOn2_32StaticStacksOPTIMIZED_Dyn ALIGNED ,905432465,19821,2965527,93562950,43602, 2231, 56589, 1740, 31151, 1606, 1829, 6625635, 213101, 9472679, 167543, 3944275, 167617, 167840, 216036303, 5268405, 305058740, 4180360, 115970966, 4187947, 4237931, 
