Algo Name : ALL Results averaged from 20 test cycles and if error - no results printed, Total Time , Average Small, Average Big, Average Super Big,  SMALL Avrg RAND_with_Repeats, SMALL Avrg REV_SORTED, SMALL Avrg RAND_NO_REPEATS_SHUFFLED, SMALL Avrg SORTED, SMALL Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SMALL Avrg ONE_NUMBER, SMALL Avrg ONLY_ZEROES, BIG Avrg RAND_with_Repeats, BIG Avrg REV_SORTED, BIG Avrg RAND_NO_REPEATS_SHUFFLED, BIG Avrg SORTED, BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, BIG Avrg ONE_NUMBER, BIG Avrg ONLY_ZEROES, SUP BIG Avrg RAND_with_Repeats, SUP BIG Avrg REV_SORTED, SUP BIG Avrg RAND_NO_REPEATS_SHUFFLED, SUP BIG Avrg SORTED, SUP BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SUP BIG Avrg ONE_NUMBER, SUP BIG Avrg ONLY_ZEROES, 
RusevMergeSortBasedOn4_3rd_merge_improve,895848468,20656,2978586,92028747,52304, 2231, 60293, 1829, 24411, 1829, 1696, 6974110, 211242, 9743611, 206109, 3379425, 167989, 167617, 218820681, 5358109, 302798302, 4249981, 104344772, 4332544, 4296841, 
RusevMergeSortBasedOn4_3rd_merge_improve ALIGNED ,926540004,22990,3226434,93415739,61721, 2365, 63595, 1785, 27446, 2097, 1918, 7279816, 229391, 10205889, 190861, 4331688, 175167, 172229, 220277358, 5474590, 309579617, 4325403, 105340882, 4494545, 4417784, 
RusevMergeSortBasedOn4_3rd_merge_improve,941871704,19521,3111138,97024216,47306, 2320, 57794, 1606, 23920, 1740, 1963, 6870683, 215370, 10533612, 170481, 3627672, 179555, 180597, 215997923, 6269871, 333384953, 4850682, 109129403, 4770350, 4766333, 
RusevMergeSortBasedOn4_3rd_merge_improve ALIGNED ,998594196,22346,3344487,102298997,52840, 2633, 68281, 1963, 26643, 2142, 1918, 7701109, 241515, 11168974, 192014, 3726301, 189820, 191679, 252159131, 6106977, 330419830, 4727507, 113218721, 4720812, 4740003, 
RusevMergeSortBasedOn4_3rd_merge_improve,1005101936,28396,3309348,103589847,97201, 2499, 66050, 1874, 27178, 1919, 2052, 7735585, 243523, 10826524, 190043, 3787665, 191010, 191084, 242677341, 6233276, 348385070, 4891740, 113441864, 4758300, 4741342, 
RusevMergeSortBasedOn4_3rd_merge_improve ALIGNED ,996262801,21765,3317753,102292557,51590, 2633, 65291, 1963, 26955, 1963, 1963, 7682812, 245531, 10863789, 191828, 3849215, 192312, 198783, 246804593, 6097604, 341146312, 4897095, 107471897, 4818103, 4812301, 
RusevMergeSortBasedOn4_3rd_merge_improve,979325366,21715,3289786,100209040,53152, 2454, 64042, 1963, 26509, 1963, 1919, 7667043, 239767, 10785987, 190154, 3761483, 192646, 191419, 239156591, 6785331, 330409565, 5532607, 110038488, 4733309, 4807392, 
RusevMergeSortBasedOn4_3rd_merge_improve ALIGNED ,1013188190,21963,3399662,103725582,52170, 2677, 66139, 2008, 26777, 1919, 2052, 7624609, 245494, 11643525, 191679, 3713284, 189411, 189634, 246574755, 6096266, 343778952, 4867195, 114787862, 4992154, 4981890, 
RusevMergeSortBasedOn4_3rd_merge_improve,993893021,23238,3309486,102038493,60828, 2544, 65827, 2097, 27446, 1918, 2008, 7822090, 243634, 10792197, 189411, 3737384, 190378, 191307, 249276124, 5979339, 335971181, 4790879, 108635365, 4775259, 4841309, 
RusevMergeSortBasedOn4_3rd_merge_improve ALIGNED ,991632584,22021,3290088,101960521,51769, 2588, 65827, 1963, 28116, 1919, 1963, 7636844, 240808, 10829722, 191233, 3748169, 192944, 190898, 249364042, 6966523, 333635320, 4843987, 109192776, 4944848, 4776152, 
RusevMergeSortBasedOn4_3rd_merge_improve,982020922,22135,3291374,100570850,55116, 2499, 64711, 2008, 26688, 1919, 2008, 7724353, 238800, 10778809, 189708, 3726859, 190861, 190229, 240574888, 5984248, 334229326, 4765887, 108883054, 4823904, 4734647, 
RusevMergeSortBasedOn4_3rd_merge_improve ALIGNED ,1001088488,21810,3423868,101708114,51858, 2588, 65291, 1918, 27089, 1963, 1963, 7620220, 239581, 11820254, 190006, 3717598, 190043, 189373, 239437751, 5978892, 341173982, 4787309, 110712826, 4760085, 5105957, 
RusevMergeSortBasedOn4_3rd_merge_improve,982953206,29320,3322970,100253031,106305, 2767, 63774, 2008, 26420, 2052, 1919, 8012320, 239172, 10744147, 189782, 3696325, 189373, 189671, 241943646, 6080646, 331257508, 4725275, 108092235, 4777491, 4894418, 
RusevMergeSortBasedOn4_3rd_merge_improve ALIGNED ,974822334,21938,3268390,99820261,52617, 2365, 65380, 1963, 27268, 1963, 2008, 7629146, 238986, 10751548, 190378, 3689780, 189522, 189373, 239697489, 6011918, 332124196, 4746697, 106715442, 4722151, 4723937, 
