Algo Name : ALL Results averaged from 20 test cycles and if error - no results printed, Total Time , Average Small, Average Big, Average Super Big,  SMALL Avrg RAND_with_Repeats, SMALL Avrg REV_SORTED, SMALL Avrg RAND_NO_REPEATS_SHUFFLED, SMALL Avrg SORTED, SMALL Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SMALL Avrg ONE_NUMBER, SMALL Avrg ONLY_ZEROES, BIG Avrg RAND_with_Repeats, BIG Avrg REV_SORTED, BIG Avrg RAND_NO_REPEATS_SHUFFLED, BIG Avrg SORTED, BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, BIG Avrg ONE_NUMBER, BIG Avrg ONLY_ZEROES, SUP BIG Avrg RAND_with_Repeats, SUP BIG Avrg REV_SORTED, SUP BIG Avrg RAND_NO_REPEATS_SHUFFLED, SUP BIG Avrg SORTED, SUP BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SUP BIG Avrg ONE_NUMBER, SUP BIG Avrg ONLY_ZEROES, 
RusevUltraBasedOn4RusevV2,1138313378,27618,3876853,115817762,72923, 2454, 83366, 1964, 28963, 1785, 1874, 9492724, 239134, 12890857, 189522, 3943568, 190080, 192088, 271052646, 6030661, 399969474, 4871211, 118986520, 4994386, 4819442, 
RusevUltraBasedOn4RusevV2 ALIGNED ,1137664033,26828,3959098,114745975,65961, 2543, 84214, 2097, 29097, 1919, 1963, 9165783, 293470, 13371023, 265205, 4190253, 206742, 221209, 291954000, 6420716, 390732248, 4846219, 100884270, 4202229, 4182146, 
RusevUltraBasedOn4RusevV2,999047638,24023,3457435,100991634,58463, 2365, 75065, 1785, 26732, 1785, 1963, 8505503, 212246, 11470217, 171336, 3500629, 169848, 172266, 246817981, 5619632, 341176214, 4276758, 100184049, 4214278, 4652531, 
RusevUltraBasedOn4RusevV2 ALIGNED ,1080387240,24666,3386922,113451299,58240, 2320, 77921, 1785, 28740, 1740, 1918, 7946529, 214589, 11565350, 167431, 3478798, 167654, 168100, 253701495, 5368374, 399265681, 4289700, 121891842, 4789540, 4852466, 
RusevUltraBasedOn4RusevV2,1137265952,31284,4033638,113750056,95862, 2588, 85061, 2097, 29499, 1919, 1963, 9515150, 241366, 13814334, 189969, 4092144, 192089, 190415, 272065268, 6264069, 388137989, 4831938, 115263157, 4835062, 4852913, 
RusevUltraBasedOn4RusevV2 ALIGNED ,1125712945,26534,3867997,114134818,65425, 2543, 83411, 2008, 28517, 1919, 1919, 8951379, 245048, 13199984, 193762, 4097164, 194692, 193948, 275110277, 6065918, 387949209, 4775260, 115412217, 4837739, 4793111, 
RusevUltraBasedOn4RusevV2,1043627579,26617,3560692,106095169,75734, 2320, 75154, 1785, 27803, 1785, 1740, 9201263, 215630, 11497069, 167803, 3506468, 169068, 167543, 265529858, 5350075, 354532212, 4259799, 104182323, 4392346, 4419570, 
RusevUltraBasedOn4RusevV2 ALIGNED ,992464467,23697,3450518,100137443,59133, 2186, 73771, 1785, 25661, 1695, 1651, 7953782, 216783, 11974408, 172043, 3500852, 167840, 167915, 239802367, 5340258, 343382205, 4215617, 99842639, 4197765, 4181253, 
RusevUltraBasedOn4RusevV2,1007602041,24807,3417694,102682739,59132, 2365, 79751, 1740, 27223, 1696, 1740, 8192507, 211651, 11509714, 168807, 3501782, 169365, 170034, 243700674, 5300538, 346636968, 4320494, 109321753, 4739110, 4759640, 
RusevUltraBasedOn4RusevV2 ALIGNED ,1110395963,26604,3786619,112922514,64666, 2543, 84080, 2008, 29052, 1963, 1919, 8903032, 239544, 12888849, 190340, 3903811, 191493, 189262, 273205529, 6186861, 384174523, 4977873, 112146743, 4868979, 4897095, 
RusevUltraBasedOn4RusevV2,1108480057,28842,3808439,112364593,80242, 2543, 83812, 2008, 29454, 1963, 1874, 9025277, 242184, 12889778, 190675, 3931332, 190303, 189522, 270996859, 6285045, 383639872, 4798912, 111340304, 4759193, 4731969, 
RusevUltraBasedOn4RusevV2 ALIGNED ,1124179065,26840,3872401,113859778,63328, 2677, 85463, 2320, 30169, 2053, 1874, 9432178, 239692, 12933440, 190936, 3930179, 190527, 189857, 281957195, 6031554, 383387275, 4746250, 111219806, 4834169, 4842202, 
RusevUltraBasedOn4RusevV2,1107551342,28983,3792760,112418657,81536, 2499, 83634, 1963, 29232, 2008, 2008, 8903850, 239097, 12916555, 191159, 3919580, 189522, 189559, 272158542, 6145357, 382621002, 4750713, 111700010, 4765887, 4789094, 
RusevUltraBasedOn4RusevV2 ALIGNED ,1100315703,26209,3779404,111573010,63551, 2454, 83321, 1874, 28562, 1874, 1829, 8876403, 239097, 12872038, 189485, 3898828, 189708, 190266, 268871201, 5960595, 382600472, 4731077, 109279355, 4759640, 4808731, 
RusevUltraBasedOn4RusevV2,1105095426,26490,3806473,111928189,64087, 2543, 83990, 1829, 29053, 1919, 2008, 8890350, 240919, 13026193, 189374, 3918501, 189597, 190378, 269009548, 5991835, 382915104, 4744912, 111337626, 4733755, 4764548, 
RusevUltraBasedOn4RusevV2 ALIGNED ,1112928632,26145,3775993,113416425,63015, 2499, 83053, 2008, 28606, 1874, 1963, 8882354, 239506, 12861774, 189671, 3878894, 189671, 190080, 269225551, 5969074, 394103492, 4774367, 110351780, 4768119, 4722597, 
RusevUltraBasedOn4RusevV2,1129867416,33280,3976396,113360066,111259, 2499, 84526, 1919, 28874, 1874, 2008, 9125654, 240102, 13989389, 189448, 3910468, 190117, 189597, 268449907, 6010579, 392491061, 4731970, 112355604, 4733754, 4747589, 
RusevUltraBasedOn4RusevV2 ALIGNED ,1110490585,26426,3836523,112338964,63194, 2410, 84705, 2008, 28696, 1963, 2008, 9238379, 239320, 12885910, 190266, 3922593, 189894, 189299, 272924369, 5965950, 382793714, 4733309, 110420955, 4799805, 4734648, 
RusevUltraBasedOn4RusevV2,1110549928,32330,3858572,112023822,105189, 2499, 83857, 1919, 28919, 1874, 2053, 8944759, 319205, 12905993, 255982, 4172066, 206258, 205737, 268956440, 6044496, 383091833, 4725721, 111834342, 4768118, 4745805, 
RusevUltraBasedOn4RusevV2 ALIGNED ,1109263736,26101,3777911,112870299,62792, 2410, 83098, 2008, 28473, 1963, 1963, 8861899, 238911, 12875162, 189708, 3900427, 189671, 189597, 268009422, 5968628, 391770309, 4746250, 110160324, 4719027, 4718134, 
RusevUltraBasedOn4RusevV2,1125947691,26426,3781040,115212917,64890, 2320, 83455, 2052, 28383, 1918, 1963, 8882391, 239395, 12866311, 189820, 3906935, 190712, 191717, 281689424, 6029322, 382523712, 4762763, 120801119, 5959256, 4724829, 
RusevUltraBasedOn4RusevV2 ALIGNED ,1118924497,26228,3918390,112563382,63149, 2409, 83143, 2053, 28830, 2008, 2008, 8859147, 257767, 13676692, 206481, 4026428, 200754, 201460, 275068772, 5959702, 382806656, 4730631, 109735906, 4773921, 4868087, 
RusevUltraBasedOn4RusevV2,1134130785,26241,3887782,115102876,63952, 2499, 83276, 1829, 28205, 1919, 2008, 8885961, 239283, 13541318, 189373, 3978304, 190675, 189560, 281815276, 6160085, 391995683, 4853360, 111401445, 4750267, 4744020, 
RusevUltraBasedOn4RusevV2 ALIGNED ,1104010056,26413,3795050,111910976,63640, 2498, 83991, 1919, 28875, 2053, 1918, 8902585, 242444, 12912985, 190006, 3936948, 189671, 190712, 269111748, 6030662, 383340861, 4749821, 110610180, 4783293, 4750267, 
RusevUltraBasedOn4RusevV2,1103463803,33414,3782172,111917479,112910, 2499, 83723, 1918, 28964, 1874, 2008, 8872275, 239060, 12878472, 191196, 3914076, 190489, 189634, 268943499, 6003438, 382964642, 4715011, 111243460, 4789987, 4762317, 
RusevUltraBasedOn4RusevV2 ALIGNED ,1102034801,26050,3778463,111831473,62837, 2454, 83143, 1874, 28294, 1919, 1829, 8864688, 239432, 12886097, 189559, 3890274, 189448, 189745, 269109516, 6051637, 383922818, 4773027, 109490003, 4756515, 4716796, 
RusevUltraBasedOn4RusevV2,1110445944,26649,3855118,112107214,66407, 2454, 83455, 1874, 28651, 1829, 1874, 8886594, 239060, 13401222, 189746, 3889344, 189336, 190526, 268972507, 6047174, 382432669, 4782847, 113027264, 4723490, 4764548, 
