Algo Name : ALL Results averaged from 20 test cycles and if error - no results printed, Total Time , Average Small, Average Big, Average Super Big,  SMALL Avrg RAND_with_Repeats, SMALL Avrg REV_SORTED, SMALL Avrg RAND_NO_REPEATS_SHUFFLED, SMALL Avrg SORTED, SMALL Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SMALL Avrg ONE_NUMBER, SMALL Avrg ONLY_ZEROES, BIG Avrg RAND_with_Repeats, BIG Avrg REV_SORTED, BIG Avrg RAND_NO_REPEATS_SHUFFLED, BIG Avrg SORTED, BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, BIG Avrg ONE_NUMBER, BIG Avrg ONLY_ZEROES, SUP BIG Avrg RAND_with_Repeats, SUP BIG Avrg REV_SORTED, SUP BIG Avrg RAND_NO_REPEATS_SHUFFLED, SUP BIG Avrg SORTED, SUP BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SUP BIG Avrg ONE_NUMBER, SUP BIG Avrg ONLY_ZEROES, 
RusevUltraBasedOn4_V3_integral,1056670280,35447,3613837,107232369,120631, 2543, 84838, 2008, 34006, 2052, 2053, 8601008, 238911, 11464155, 190638, 4421354, 190564, 190229, 254067450, 6045389, 350675855, 4787309, 125193465, 4844434, 5012684, 
RusevUltraBasedOn4_V3_integral ALIGNED ,1047111280,24124,3553217,106707473,57615, 2543, 69397, 1919, 33515, 1919, 1963, 8240223, 238205, 11464118, 192088, 4358800, 189522, 189559, 253990242, 5987818, 348825553, 4729738, 123853715, 4782400, 4782846, 
RusevUltraBasedOn4_V3_integral,1046605633,28077,3550953,106622870,85910, 2499, 68995, 2097, 33025, 2008, 2008, 8248888, 238353, 11436745, 190824, 4362333, 189782, 189746, 254278543, 5985587, 348272160, 4737771, 123406983, 4810962, 4868087, 
RusevUltraBasedOn4_V3_integral ALIGNED ,1044126960,23793,3551187,106308812,56365, 2320, 68728, 1919, 33203, 2008, 2008, 8228545, 238465, 11412498, 189373, 4400862, 199043, 189522, 253673379, 6020843, 347588450, 4735093, 122680429, 4733754, 4729738, 
RusevUltraBasedOn4_V3_integral,1047905219,24150,3553918,106812222,57883, 2454, 69486, 1963, 33337, 1963, 1963, 8246731, 238167, 11433473, 190973, 4388106, 190527, 189448, 253720686, 5957024, 348343565, 4716350, 125300573, 4841309, 4806053, 
RusevUltraBasedOn4_V3_integral ALIGNED ,1047343792,23844,3561207,106647607,56098, 2454, 68862, 2008, 33605, 1963, 1919, 8283921, 237981, 11454560, 190117, 4381486, 189820, 190564, 254496331, 6053422, 350842320, 4750714, 120897517, 4734201, 4758747, 
RusevUltraBasedOn4_V3_integral,1060406137,30640,3578851,108233962,100369, 2588, 72298, 1918, 33516, 1874, 1919, 8329703, 246089, 11485763, 193799, 4408152, 198262, 190192, 255585268, 6039587, 357106389, 4749375, 124550367, 4851574, 4755177, 
RusevUltraBasedOn4_V3_integral ALIGNED ,1060008499,24622,3659172,107273491,59400, 2454, 70959, 2008, 33694, 1829, 2008, 8330559, 239729, 11815791, 189894, 4659373, 189559, 189299, 254948864, 6044497, 352895681, 4871657, 122671503, 4730185, 4752053, 
RusevUltraBasedOn4_V3_integral,1070381078,24086,3614724,109294019,58597, 2410, 68861, 1829, 33025, 1963, 1919, 8675314, 238167, 11421907, 189448, 4398036, 190192, 190006, 253274400, 6191771, 367445942, 4902897, 123752854, 4747589, 4742681, 
RusevUltraBasedOn4_V3_integral ALIGNED ,1044301906,23927,3550305,106343049,56455, 2454, 69129, 1919, 33471, 2052, 2008, 8252012, 238019, 11446043, 189560, 4347233, 190043, 189225, 253243606, 5944083, 348634098, 4845772, 122179696, 4795342, 4758746, 
