Algo Name : ALL Results averaged from 20 test cycles and if error - no results printed, Total Time , Average Small, Average Big, Average Super Big,  SMALL Avrg RAND_with_Repeats, SMALL Avrg REV_SORTED, SMALL Avrg RAND_NO_REPEATS_SHUFFLED, SMALL Avrg SORTED, SMALL Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SMALL Avrg ONE_NUMBER, SMALL Avrg ONLY_ZEROES, BIG Avrg RAND_with_Repeats, BIG Avrg REV_SORTED, BIG Avrg RAND_NO_REPEATS_SHUFFLED, BIG Avrg SORTED, BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, BIG Avrg ONE_NUMBER, BIG Avrg ONLY_ZEROES, SUP BIG Avrg RAND_with_Repeats, SUP BIG Avrg REV_SORTED, SUP BIG Avrg RAND_NO_REPEATS_SHUFFLED, SUP BIG Avrg SORTED, SUP BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SUP BIG Avrg ONE_NUMBER, SUP BIG Avrg ONLY_ZEROES, 
stl_StableSort,984508078,17838,3222120,101800177,38023, 12629, 41504, 7140, 11603, 6962, 7006, 5414117, 1663791, 8221553, 1555157, 2490982, 1777742, 1431499, 159730193, 45475197, 268584238, 59149397, 70951875, 52817046, 55893295, 
stl_StableSort ALIGNED ,980894944,18941,3681030,95766072,29990, 13834, 49180, 8970, 15039, 7854, 7720, 5455770, 2074374, 10506351, 1725304, 2478039, 1815416, 1711952, 169685047, 43156294, 242310494, 62991026, 61176427, 49038343, 42004877, 
stl_StableSort,862920600,21727,2787788,89603629,31552, 17003, 49983, 14727, 17092, 10844, 10889, 4866747, 1489665, 7531037, 1327365, 1723407, 1303117, 1273179, 175323423, 42602008, 227018953, 40769557, 50663716, 41587153, 49260593, 
stl_StableSort ALIGNED ,861555871,24928,2828884,88883515,34721, 20797, 65023, 19993, 20038, 7007, 6917, 5235826, 1484086, 7531335, 1278125, 1733374, 1278906, 1260534, 161530065, 41224323, 233620861, 48696042, 50789123, 42231144, 44093049, 
stl_StableSort,884207096,19043,2758631,93021286,32311, 13566, 44137, 11737, 12674, 9327, 9550, 4669787, 1505805, 7495929, 1331084, 1724337, 1298617, 1284857, 166177686, 42004877, 250500732, 40825344, 58993197, 46421323, 46225849, 
stl_StableSort ALIGNED ,996601976,21829,3297155,102587553,35390, 16155, 49983, 16066, 15619, 9371, 10219, 5445655, 1797528, 8903404, 1633815, 2142060, 1577286, 1580335, 168557282, 56803718, 272918121, 52329256, 65647319, 51086796, 50770379, 
stl_StableSort,977057783,21848,3114055,101992526,56097, 13567, 45878, 11246, 11648, 7363, 7140, 5643248, 1635823, 8373328, 1418148, 1894744, 1424284, 1408813, 187616815, 59126190, 268939928, 47859702, 57216979, 47499995, 45688075, 
stl_StableSort ALIGNED ,938706195,22786,3053286,97233588,30570, 15753, 63773, 9996, 16467, 12183, 10755, 5249029, 1625670, 8394898, 1463855, 1861049, 1386721, 1391779, 179688546, 46759607, 258071081, 45995120, 57050960, 46174527, 46895278, 
stl_StableSort,935242127,21383,3176036,95279748,56187, 12674, 45387, 8881, 12094, 7319, 7140, 5764117, 1637609, 8707224, 1411676, 1904450, 1402565, 1404610, 167181383, 48049374, 256420716, 46574399, 56863967, 45728240, 46140163, 
stl_StableSort ALIGNED ,931085421,17609,3032874,96441622,30749, 12317, 46056, 8524, 11559, 7095, 6962, 5256504, 1613732, 8303038, 1395610, 1871351, 1401412, 1388469, 167778514, 46390082, 257767161, 46454347, 58228263, 46610548, 51862440, 
stl_StableSort,937145542,17768,3133410,96099320,31552, 12719, 45476, 8613, 11425, 7319, 7274, 5253529, 1637013, 8379650, 1412383, 2120936, 1401189, 1729172, 166330316, 47487499, 258113924, 48448353, 56724280, 46632415, 48958458, 
stl_StableSort ALIGNED ,929653296,17877,3163317,94669038,30615, 12317, 47351, 8434, 11693, 7542, 7185, 5228090, 1671229, 8487093, 1452065, 1964104, 1859041, 1481595, 165050815, 47592377, 256256928, 45927284, 56638592, 45422534, 45794737, 
stl_StableSort,943885794,20930,3047596,98060365,53777, 12406, 45476, 8747, 11826, 7185, 7095, 5261748, 1646311, 8305641, 1425511, 1874512, 1406209, 1413238, 168071724, 47144752, 255592409, 51039489, 59177066, 57618190, 47778925, 
stl_StableSort ALIGNED ,925288611,17730,3037671,95554724,31195, 12540, 45744, 8613, 11647, 7185, 7185, 5322517, 1609195, 8285707, 1411788, 1854578, 1392449, 1387465, 167799936, 47379052, 255811535, 45870160, 56282902, 45713067, 50026420, 
stl_StableSort,952416997,25533,3291889,96301552,68058, 16735, 49760, 13701, 14682, 7854, 7944, 5993619, 1715485, 9085414, 1475681, 1905863, 1435925, 1431238, 174686574, 46931874, 256548800, 45814374, 57930143, 45991995, 46207105, 
stl_StableSort ALIGNED ,937685091,18214,3121769,96311625,35479, 12629, 45521, 7943, 11603, 7185, 7140, 5231846, 1693394, 8576797, 1498925, 1938479, 1452102, 1460842, 165718904, 46535572, 255976661, 46025913, 67538233, 46581093, 45805001, 
stl_StableSort,938466100,19183,3037161,97428806,42084, 12629, 45833, 7586, 11603, 7363, 7185, 5270748, 1625150, 8297013, 1407102, 1859450, 1397804, 1402862, 166526682, 55880352, 262957912, 45983963, 57913632, 46482909, 46256196, 
stl_StableSort ALIGNED ,942970459,18916,3039658,98044999,34944, 13433, 45521, 11425, 11915, 7720, 7453, 5233558, 1614030, 8301959, 1400408, 1859785, 1388469, 1479400, 166384316, 47445548, 267211909, 46499869, 57854275, 47142521, 53776561, 
stl_StableSort,949031022,19770,3198685,96993932,35167, 13968, 47708, 9997, 14415, 7943, 9193, 5261413, 1793660, 8830771, 1530425, 2038671, 1458908, 1476946, 171801781, 45283740, 241843678, 52880418, 65202819, 50790015, 51155077, 
stl_StableSort ALIGNED ,879903565,18297,3009274,89406243,32623, 12986, 47217, 7810, 12272, 7765, 7408, 6046690, 1532583, 7754589, 1331456, 1702060, 1290398, 1407139, 169038825, 47402259, 226994853, 44274241, 51795052, 43546795, 42791679, 
stl_StableSort,936580088,16926,2972141,97962182,32623, 12183, 40478, 10175, 10175, 6471, 6382, 4653720, 1628980, 8427626, 1436631, 1882173, 1376048, 1399813, 146788348, 49509175, 263584944, 47593269, 57851151, 48902673, 71505716, 
