Algo Name : ALL Results averaged from 20 test cycles and if error - no results printed, Total Time , Average Small, Average Big, Average Super Big,  SMALL Avrg RAND_with_Repeats, SMALL Avrg REV_SORTED, SMALL Avrg RAND_NO_REPEATS_SHUFFLED, SMALL Avrg SORTED, SMALL Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SMALL Avrg ONE_NUMBER, SMALL Avrg ONLY_ZEROES, BIG Avrg RAND_with_Repeats, BIG Avrg REV_SORTED, BIG Avrg RAND_NO_REPEATS_SHUFFLED, BIG Avrg SORTED, BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, BIG Avrg ONE_NUMBER, BIG Avrg ONLY_ZEROES, SUP BIG Avrg RAND_with_Repeats, SUP BIG Avrg REV_SORTED, SUP BIG Avrg RAND_NO_REPEATS_SHUFFLED, SUP BIG Avrg SORTED, SUP BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SUP BIG Avrg ONE_NUMBER, SUP BIG Avrg ONLY_ZEROES, 
stl_sortRegular,903116237,23334,3137395,91134517,50519, 14772, 58329, 9773, 26821, 1606, 1517, 7079656, 1570182, 8581074, 1415544, 3141741, 86207, 87360, 201512820, 45539016, 252068089, 33529908, 101787107, 1707043, 1797640, 
stl_sortRegular ALIGNED ,824326244,17080,2781163,84216129,35881, 10041, 45298, 6158, 20305, 937, 937, 6300999, 1393416, 7875942, 1067739, 2693595, 68318, 68133, 195818212, 40637011, 230750796, 32361977, 86632130, 1655720, 1657060, 
stl_sortRegular,808310822,23072,2785929,81811094,80643, 9594, 43736, 6113, 19681, 847, 892, 6559845, 1359907, 7743395, 1047842, 2657893, 66273, 66348, 176421733, 40439752, 231287678, 32897074, 88224925, 1709721, 1696779, 
stl_sortRegular ALIGNED ,812663003,17494,2742915,83004782,38871, 10041, 46146, 5980, 19815, 803, 803, 6199766, 1370581, 7698134, 1054908, 2743319, 67054, 66645, 178816950, 40749475, 236157104, 33620058, 87981698, 1914120, 1794069, 
stl_sortRegular,844346615,16914,2870500,86005799,37621, 9818, 43646, 5980, 19681, 847, 803, 6206461, 1457049, 8342088, 1180128, 2757042, 77467, 73265, 182758101, 41473351, 242808549, 41202455, 90480453, 1691870, 1625819, 
stl_sortRegular ALIGNED ,812928992,16825,2729877,83205929,36238, 9952, 44137, 6114, 19636, 758, 937, 6240490, 1345254, 7688204, 1045313, 2657483, 66459, 65938, 180278982, 40385752, 235782670, 32635104, 90043540, 1659737, 1655720, 
stl_sortRegular,815595548,16920,2780807,82974753,37131, 10086, 43736, 6158, 19636, 847, 847, 6215796, 1363589, 8044266, 1054462, 2654992, 66347, 66198, 182652330, 40302743, 234051527, 32517731, 87877714, 1672233, 1748994, 
stl_sortRegular ALIGNED ,808029226,17086,2743447,82340517,38961, 9863, 43557, 5935, 19636, 848, 803, 6243428, 1366044, 7682775, 1066920, 2708955, 69806, 66199, 177744971, 40527225, 231776360, 33210813, 89716412, 1691424, 1716416, 
stl_sortRegular,800494573,16895,2723906,81500543,37577, 9773, 43602, 6114, 19547, 803, 847, 6196196, 1364779, 7666894, 1052677, 2653206, 66831, 66756, 176238309, 40433058, 230623604, 33271062, 86574113, 1699903, 1663754, 
stl_sortRegular ALIGNED ,801970884,16671,2725112,81699204,35970, 9773, 43691, 5980, 19725, 803, 758, 6201180, 1365262, 7650716, 1068482, 2657446, 66496, 66199, 176412361, 41148455, 231705401, 32651617, 86661139, 1657506, 1657952, 
stl_sortRegular,807132184,16946,2798664,81551164,37755, 9684, 43825, 6114, 19636, 847, 758, 6599787, 1436296, 7713568, 1054610, 2653653, 66459, 66273, 176717174, 40492414, 230733837, 32835487, 86699965, 1675803, 1703474, 
stl_sortRegular ALIGNED ,824829655,17500,2742368,84749377,35926, 10175, 46547, 7185, 20618, 1115, 937, 6209584, 1370246, 7690993, 1108239, 2679798, 70736, 66979, 198669086, 40956552, 230787838, 32860925, 86643734, 1671787, 1655721, 
