Algo Name : ALL Results averaged from 20 test cycles and if error - no results printed, Total Time , Average Small, Average Big, Average Super Big,  SMALL Avrg RAND_with_Repeats, SMALL Avrg REV_SORTED, SMALL Avrg RAND_NO_REPEATS_SHUFFLED, SMALL Avrg SORTED, SMALL Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SMALL Avrg ONE_NUMBER, SMALL Avrg ONLY_ZEROES, BIG Avrg RAND_with_Repeats, BIG Avrg REV_SORTED, BIG Avrg RAND_NO_REPEATS_SHUFFLED, BIG Avrg SORTED, BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, BIG Avrg ONE_NUMBER, BIG Avrg ONLY_ZEROES, SUP BIG Avrg RAND_with_Repeats, SUP BIG Avrg REV_SORTED, SUP BIG Avrg RAND_NO_REPEATS_SHUFFLED, SUP BIG Avrg SORTED, SUP BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SUP BIG Avrg ONE_NUMBER, SUP BIG Avrg ONLY_ZEROES, 
svpv_isort_qsort,1115669708,28849,3877618,112561469,81045, 11067, 49225, 8077, 26509, 13076, 12942, 7404329, 1928215, 8280277, 1319667, 3456558, 2385063, 2369220, 202861496, 47208125, 252382275, 39353047, 97650483, 74140587, 74334275, 
svpv_isort_qsort ALIGNED ,1129122126,23481,3882777,114475016,41817, 11648, 49537, 8167, 26241, 13522, 13433, 7043544, 1715225, 8594165, 1391519, 3570175, 2450109, 2414704, 204426620, 47170191, 269315255, 39490056, 95717619, 72625446, 72579925, 
svpv_isort_qsort,1138059445,29295,3959321,114775111,81670, 11246, 50921, 8256, 26955, 13254, 12763, 7722494, 1961315, 8359121, 1344696, 3509183, 2407675, 2410762, 212435668, 57544552, 246994711, 40328181, 95907290, 77105711, 73109666, 
svpv_isort_qsort ALIGNED ,1122780836,23187,3774760,114868257,41549, 11201, 49359, 8166, 26331, 12942, 12763, 6955812, 1667324, 8269863, 1310295, 3445885, 2373013, 2401129, 205919893, 47664228, 264247232, 39449444, 97701360, 74360606, 74735040, 
svpv_isort_qsort,1122850456,34089,3934754,112849260,71137, 16110, 61810, 10532, 37755, 20886, 20395, 7087578, 2277434, 8522275, 1352692, 3487426, 2452118, 2363753, 200759935, 53062950, 252210901, 39631528, 97833014, 73555952, 72890541, 
svpv_isort_qsort ALIGNED ,1095375764,23277,3801851,110627266,41772, 11291, 49448, 8211, 26464, 12987, 12763, 6946254, 1634373, 8304785, 1326250, 3537894, 2464390, 2399010, 199842818, 46967576, 245675936, 39499428, 95659601, 73276577, 73468927, 
svpv_isort_qsort,1102852841,23659,3855124,111052322,42531, 11201, 49403, 8122, 26330, 15263, 12763, 6989990, 1986493, 8430229, 1345812, 3464257, 2390902, 2378183, 200688530, 47461615, 247190184, 39648041, 95826067, 73397075, 73154742, 
svpv_isort_qsort ALIGNED ,1095868903,23238,3779064,110971543,42218, 11112, 49180, 8166, 26152, 12986, 12853, 6975932, 1622695, 8304190, 1319184, 3459125, 2391088, 2381232, 200544826, 47729386, 246769782, 40135385, 95629254, 73001219, 72990955, 
svpv_isort_qsort,1105755933,24080,3932129,110538774,48020, 11023, 49359, 8122, 26152, 13076, 12808, 7221687, 1979092, 8597809, 1355035, 3523278, 2424002, 2424001, 200276608, 46938568, 246309662, 39478452, 95199927, 72946773, 72621430, 
svpv_isort_qsort ALIGNED ,1092061643,23270,3759416,110663096,41682, 11157, 49493, 8122, 26554, 13121, 12763, 6937514, 1609567, 8263244, 1308844, 3450459, 2378815, 2367472, 199515245, 47604426, 245265353, 39572618, 95502509, 74491368, 72690158, 
svpv_isort_qsort,1108828160,28249,3839567,112046710,76805, 11246, 49493, 8166, 26420, 12853, 12763, 7079656, 1933496, 8315422, 1334915, 3458567, 2380340, 2374575, 201007178, 47184471, 253179341, 39460601, 95993423, 74112472, 73389488, 
svpv_isort_qsort ALIGNED ,1114040330,23531,3933893,111706576,42174, 11558, 50430, 8122, 26866, 12942, 12629, 6956593, 1856958, 8294074, 2007988, 3455294, 2396183, 2570160, 200290889, 47609335, 245795094, 46380710, 95658709, 73644317, 72566983, 
svpv_isort_qsort,1133613091,29206,4027571,113321813,83544, 11201, 49492, 8077, 26241, 12987, 12897, 8390510, 1929182, 8327025, 1324427, 3462360, 2393989, 2365501, 217671494, 46797541, 248071599, 39294136, 95600246, 72836540, 72981136, 
svpv_isort_qsort ALIGNED ,1100870878,23187,3889110,110366061,41861, 11023, 49403, 8077, 26330, 12987, 12629, 7849574, 1615480, 8270496, 1313121, 3436401, 2380303, 2358397, 199762487, 46998370, 245160922, 39551197, 95744396, 72736572, 72608488, 
