Algo Name : ALL Results averaged from 20 test cycles and if error - no results printed, Total Time , Average Small, Average Big, Average Super Big,  SMALL Avrg RAND_with_Repeats, SMALL Avrg REV_SORTED, SMALL Avrg RAND_NO_REPEATS_SHUFFLED, SMALL Avrg SORTED, SMALL Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SMALL Avrg ONE_NUMBER, SMALL Avrg ONLY_ZEROES, BIG Avrg RAND_with_Repeats, BIG Avrg REV_SORTED, BIG Avrg RAND_NO_REPEATS_SHUFFLED, BIG Avrg SORTED, BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, BIG Avrg ONE_NUMBER, BIG Avrg ONLY_ZEROES, SUP BIG Avrg RAND_with_Repeats, SUP BIG Avrg REV_SORTED, SUP BIG Avrg RAND_NO_REPEATS_SHUFFLED, SUP BIG Avrg SORTED, SUP BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SUP BIG Avrg ONE_NUMBER, SUP BIG Avrg ONLY_ZEROES, 
svpv_isort_qsort_RusevMerge,996072244,26994,3303573,102383217,91131, 2454, 65291, 1963, 24233, 1963, 1919, 7840313, 239358, 11138627, 189634, 3336619, 190415, 190043, 240643170, 6069488, 350400497, 4724383, 105155227, 4803375, 4886384, 
svpv_isort_qsort_RusevMerge ALIGNED ,992586298,21166,3270346,102342223,48600, 2543, 66139, 1963, 24902, 2142, 1874, 7363792, 240176, 11336220, 192684, 3378161, 191084, 190303, 243282504, 6080199, 346915004, 8150520, 102392271, 4836847, 4738217, 
svpv_isort_qsort_RusevMerge,990898446,27637,3265920,102089498,94568, 2633, 65693, 2053, 24501, 2008, 2008, 7527950, 239432, 11149635, 190898, 3368677, 191531, 193316, 240459300, 6138663, 350247421, 4748482, 103442382, 4762317, 4827921, 
svpv_isort_qsort_RusevMerge ALIGNED ,987628951,21077,3232783,102085672,48779, 2588, 65737, 1963, 24501, 2008, 1963, 7379189, 239469, 11091655, 193985, 3342941, 190415, 191828, 240243297, 6259160, 350554466, 4877459, 103138014, 4747144, 4780169, 
svpv_isort_qsort_RusevMerge,987803898,21377,3242378,101992526,49448, 2811, 66496, 2186, 24768, 1963, 1963, 7435569, 242853, 11092287, 193055, 3352165, 190155, 190564, 241887414, 6481411, 347273818, 4905129, 103473176, 5051956, 4874781, 
svpv_isort_qsort_RusevMerge ALIGNED ,993156651,21338,3244174,102736038,49716, 2499, 67076, 2053, 24054, 2008, 1963, 7465061, 239841, 11105713, 191605, 3325685, 190117, 191196, 243082122, 6159638, 349628869, 4742680, 105691663, 4987245, 4860054, 
svpv_isort_qsort_RusevMerge,996547979,21230,3255422,103086628,49894, 2588, 65604, 2053, 24456, 2008, 2008, 7409796, 246126, 11194636, 190006, 3365404, 189894, 192088, 244451774, 6350202, 350303652, 4815425, 105988443, 4808731, 4888169, 
svpv_isort_qsort_RusevMerge ALIGNED ,992112345,21217,3236088,102685098,48957, 2588, 66318, 2097, 24411, 2187, 1963, 7406895, 241068, 11091767, 190378, 3339780, 192721, 190006, 243758691, 6019058, 350037666, 4850236, 104459021, 4871657, 4799359, 
svpv_isort_qsort_RusevMerge,991695953,21275,3283670,102054050,48957, 2722, 66273, 2097, 24813, 2053, 2008, 7684820, 239172, 11081948, 189820, 3393111, 207262, 189560, 240438324, 6134200, 349258451, 4772136, 104203299, 4822120, 4749821, 
svpv_isort_qsort_RusevMerge ALIGNED ,986860006,28575,3288654,101230397,48198, 3659, 106528, 2900, 33293, 2633, 2811, 7328089, 280974, 11386055, 190452, 3454810, 190229, 189969, 237940462, 6109654, 348654180, 4744020, 101481401, 4811855, 4871211, 
