Algo Name : ALL Results averaged from 20 test cycles and if error - no results printed, Total Time , Average Small, Average Big, Average Super Big,  SMALL Avrg RAND_with_Repeats, SMALL Avrg REV_SORTED, SMALL Avrg RAND_NO_REPEATS_SHUFFLED, SMALL Avrg SORTED, SMALL Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SMALL Avrg ONE_NUMBER, SMALL Avrg ONLY_ZEROES, BIG Avrg RAND_with_Repeats, BIG Avrg REV_SORTED, BIG Avrg RAND_NO_REPEATS_SHUFFLED, BIG Avrg SORTED, BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, BIG Avrg ONE_NUMBER, BIG Avrg ONLY_ZEROES, SUP BIG Avrg RAND_with_Repeats, SUP BIG Avrg REV_SORTED, SUP BIG Avrg RAND_NO_REPEATS_SHUFFLED, SUP BIG Avrg SORTED, SUP BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SUP BIG Avrg ONE_NUMBER, SUP BIG Avrg ONLY_ZEROES, 
svpv_stl_isort,1640364497,33758,5537350,167551991,70423, 25706, 72700, 18922, 38826, 4998, 4730, 11113820, 4368172, 12813910, 3646378, 5915333, 452905, 450934, 312595617, 130984917, 397372536, 111739729, 188497784, 12440220, 19233138, 
svpv_stl_isort ALIGNED ,1628011309,33184,5609218,164930571,65336, 25884, 73280, 19056, 39094, 4819, 4820, 11075886, 4465685, 13084842, 3674197, 6050707, 449224, 463988, 312525550, 130213289, 386230115, 115430960, 187693577, 11213380, 11207132, 
svpv_stl_isort,1626690754,35721,5577824,165093275,82027, 26509, 73324, 19011, 39719, 4998, 4462, 11209289, 4381969, 12996961, 3612535, 5939135, 452608, 452273, 313337790, 131355335, 386042676, 113663222, 188656215, 11312009, 11285678, 
svpv_stl_isort ALIGNED ,1658267723,33471,5524488,170266812,65425, 27000, 73726, 19279, 39050, 4552, 5266, 11092696, 4331167, 12833509, 3600671, 5911094, 451381, 450897, 313427940, 130312365, 427076881, 110879290, 187859149, 11166073, 11145991, 
svpv_stl_isort,1635931996,41581,5576804,166367102,123933, 26687, 72923, 18967, 39094, 4819, 4641, 11393344, 4366610, 12844443, 3607329, 5912991, 456848, 456067, 318155446, 131023298, 385623167, 112908998, 192079675, 13522463, 11256670, 
svpv_stl_isort ALIGNED ,1624716837,33031,5526831,165450112,65291, 25795, 72655, 18922, 39050, 4641, 4864, 11123379, 4333585, 12804500, 3598775, 5921396, 452236, 453947, 312451466, 131306243, 392076461, 111238104, 188610694, 11247298, 11220520, 
svpv_stl_isort,1644618509,33254,5860584,164285943,66943, 25795, 72744, 18877, 39005, 4641, 4775, 11074101, 4412466, 13454404, 3647011, 7511847, 468377, 455880, 312476013, 130558714, 384884117, 111261758, 188282674, 11303530, 11234801, 
svpv_stl_isort ALIGNED ,1625261310,33445,5512842,165691617,66898, 25929, 73056, 19056, 39496, 4864, 4820, 11065510, 4318671, 12796988, 3594758, 5910313, 452013, 451641, 312178340, 130774717, 395696733, 111164914, 187679742, 11170537, 11176338, 
svpv_stl_isort,1622466203,33312,5629918,163888749,67032, 25706, 73056, 18788, 39139, 4686, 4775, 11831709, 4347159, 12808591, 3615585, 5904176, 451604, 450600, 311364760, 130213735, 384636428, 110700330, 187982323, 11178570, 11145098, 
svpv_stl_isort ALIGNED ,1630892978,33031,5698874,164267900,65604, 25795, 72833, 18788, 39094, 4551, 4552, 11019394, 4328006, 13407061, 4053503, 6166704, 467187, 450265, 310591793, 130456961, 387037893, 111144384, 188186722, 11245066, 11212487, 
