Algo Name : ALL Results averaged from 20 test cycles and if error - no results printed, Total Time , Average Small, Average Big, Average Super Big,  SMALL Avrg RAND_with_Repeats, SMALL Avrg REV_SORTED, SMALL Avrg RAND_NO_REPEATS_SHUFFLED, SMALL Avrg SORTED, SMALL Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SMALL Avrg ONE_NUMBER, SMALL Avrg ONLY_ZEROES, BIG Avrg RAND_with_Repeats, BIG Avrg REV_SORTED, BIG Avrg RAND_NO_REPEATS_SHUFFLED, BIG Avrg SORTED, BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, BIG Avrg ONE_NUMBER, BIG Avrg ONLY_ZEROES, SUP BIG Avrg RAND_with_Repeats, SUP BIG Avrg REV_SORTED, SUP BIG Avrg RAND_NO_REPEATS_SHUFFLED, SUP BIG Avrg SORTED, SUP BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SUP BIG Avrg ONE_NUMBER, SUP BIG Avrg ONLY_ZEROES, 
svpv_stl_isort_RusevMerge,1024179779,23570,3387241,105428800,58999, 2588, 70736, 1919, 26643, 2008, 2097, 7682068, 240399, 11483308, 192312, 3730950, 191047, 190601, 247254449, 6002100, 359206611, 4827475, 111239890, 4755623, 4715458, 
svpv_stl_isort_RusevMerge ALIGNED ,1036616427,22562,3415776,106873109,49582, 2900, 71093, 2053, 27981, 2276, 2053, 7654249, 251482, 11629727, 193167, 3793951, 195175, 192684, 245699589, 6279690, 359312380, 4845773, 122143547, 4897988, 4932799, 
svpv_stl_isort_RusevMerge,1021174034,22218,3387331,105011841,50430, 2588, 69397, 2052, 27089, 2053, 1919, 7656295, 241961, 11514288, 191010, 3724367, 189894, 193502, 247530253, 6101175, 355238683, 4910930, 111531314, 4876120, 4894418, 
svpv_stl_isort_RusevMerge ALIGNED ,1029499944,22295,3371642,106388761,49582, 2543, 70200, 2052, 27625, 2008, 2053, 7627398, 241031, 11445374, 190378, 3715776, 189968, 191568, 245961113, 6089571, 367060797, 4841309, 111180087, 4764995, 4823458, 
svpv_stl_isort_RusevMerge,1030765612,25986,3495837,105042316,76671, 2633, 69442, 1963, 27089, 2097, 2008, 8486424, 240473, 11446899, 190824, 3722731, 192460, 191047, 247670834, 6126167, 355179773, 4766779, 111974476, 4831492, 4746697, 
svpv_stl_isort_RusevMerge ALIGNED ,1019638370,21982,3377279,104915444,49627, 2543, 68772, 2008, 27000, 2008, 1919, 7636435, 241886, 11477581, 201051, 3702946, 190415, 190638, 246792989, 6219440, 356740435, 4781061, 110295994, 4744466, 4833723, 
svpv_stl_isort_RusevMerge,1029308488,22390,3409470,105906518,52572, 2543, 68817, 1963, 26955, 1963, 1919, 7938422, 240659, 11409745, 192683, 3705177, 189783, 189820, 250123622, 6089571, 357547320, 4939047, 113201317, 4731077, 4713672, 
svpv_stl_isort_RusevMerge ALIGNED ,1045426552,22103,3362291,108778112,50430, 2543, 68995, 1963, 26687, 2097, 2008, 7616910, 239804, 11406287, 189634, 3702499, 190415, 190489, 251969906, 6166333, 353317421, 4840417, 133234645, 4820780, 7097285, 
svpv_stl_isort_RusevMerge,1022026442,23608,3383830,105161730,51322, 2588, 70736, 1963, 33828, 2409, 2409, 7761916, 246312, 11383451, 195733, 3717896, 191493, 190006, 247389228, 5990496, 353704352, 4714118, 114599530, 4879690, 4854698, 
svpv_stl_isort_RusevMerge ALIGNED ,1012483058,22110,3368475,103997625,50475, 2543, 68549, 2097, 27044, 2052, 2008, 7679390, 239060, 11385125, 189560, 3706999, 189522, 189671, 245409949, 6019951, 353198710, 4734647, 109108427, 4719473, 4792218, 
