Algo Name : ALL Results averaged from 20 test cycles and if error - no results printed, Total Time , Average Small, Average Big, Average Super Big,  SMALL Avrg RAND_with_Repeats, SMALL Avrg REV_SORTED, SMALL Avrg RAND_NO_REPEATS_SHUFFLED, SMALL Avrg SORTED, SMALL Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SMALL Avrg ONE_NUMBER, SMALL Avrg ONLY_ZEROES, BIG Avrg RAND_with_Repeats, BIG Avrg REV_SORTED, BIG Avrg RAND_NO_REPEATS_SHUFFLED, BIG Avrg SORTED, BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, BIG Avrg ONE_NUMBER, BIG Avrg ONLY_ZEROES, SUP BIG Avrg RAND_with_Repeats, SUP BIG Avrg REV_SORTED, SUP BIG Avrg RAND_NO_REPEATS_SHUFFLED, SUP BIG Avrg SORTED, SUP BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SUP BIG Avrg ONE_NUMBER, SUP BIG Avrg ONLY_ZEROES, 
timSort_Rusev,1621599529,42722,5407083,166344852,104653, 53152, 72387, 15173, 25125, 14281, 14281, 9574729, 6246254, 11876189, 2210640, 3561919, 2190148, 2189701, 254193303, 184046528, 366501154, 79570102, 117453975, 77115976, 85532928, 
timSort_Rusev ALIGNED ,1467783507,35129,4692430,153022898,57437, 47395, 71584, 14325, 26910, 15575, 12674, 8088337, 5474886, 10457371, 1910438, 3127980, 1895896, 1892103, 259226961, 155425766, 321875239, 65043049, 106762303, 86726743, 76100229, 
timSort_Rusev,1605373908,36786,5222581,166300287,55651, 54045, 74128, 16110, 26286, 16512, 14771, 8050849, 6323164, 11985342, 2203834, 3578432, 2205359, 2211086, 256323426, 182485420, 376353362, 77227100, 114314353, 78146449, 79251899, 
timSort_Rusev ALIGNED ,1443186014,33254,4724945,149137533,54268, 47440, 68728, 14147, 22716, 12942, 12540, 8027753, 5521375, 10549529, 1928364, 3158997, 1948261, 1940339, 245244824, 161125283, 332039402, 69205557, 94439456, 75670901, 66237310, 
timSort_Rusev,1605720226,37583,5111440,167675485,62881, 55250, 73548, 16066, 25884, 14816, 14638, 7017697, 6348900, 12078244, 2261814, 3642846, 2202012, 2228565, 259774108, 178019436, 389991860, 75850309, 126764838, 74011165, 69316683, 
timSort_Rusev ALIGNED ,1385616027,31705,4554321,142976237,49760, 47172, 64220, 13790, 22135, 12630, 12228, 7164488, 5480688, 10431784, 1897607, 3123629, 1892698, 1889351, 223374136, 156179542, 324745751, 67223156, 95999671, 68158125, 65153281, 
timSort_Rusev,1493373100,31871,4660128,157098764,48556, 47038, 65202, 14191, 22537, 12897, 12674, 7559005, 5542833, 10550347, 1946067, 3156729, 1932678, 1933236, 227498264, 178969133, 371765097, 66803647, 110463352, 75757035, 68434821, 
timSort_Rusev ALIGNED ,1371649059,31520,4535949,141203271,47395, 46949, 64398, 13924, 22492, 12719, 12763, 7011821, 5456254, 10445582, 1910178, 3130361, 1897459, 1899988, 222210669, 153799053, 321556592, 65885637, 93871334, 65523699, 65575914, 
timSort_Rusev,1527408649,43557,5377341,153237562,97379, 55249, 80554, 15887, 25840, 15129, 14861, 9019810, 6349793, 11972586, 2236227, 3615696, 2215884, 2231392, 259775446, 162753334, 336411219, 81858656, 97260429, 67545374, 67058476, 
timSort_Rusev ALIGNED ,1387812198,31354,4544332,143413342,47395, 46681, 64265, 13968, 22001, 12629, 12540, 7019370, 5503226, 10444280, 1914938, 3129840, 1902851, 1895822, 222111147, 154052544, 322920442, 66849168, 96763267, 68425004, 72771828, 
timSort_Rusev,1466566043,43685,5183116,146875182,108358, 53554, 73771, 15619, 25572, 14593, 14325, 7949133, 6402008, 11959123, 2325037, 3447670, 2100630, 2098213, 253193176, 156406702, 322781200, 68811041, 95474840, 65952133, 65507186, 
timSort_Rusev ALIGNED ,1543581163,31437,5065499,159411226,47351, 46860, 64756, 13701, 22135, 12808, 12451, 7040792, 6018760, 12164787, 2125027, 3778182, 2233363, 2097580, 222257529, 179440857, 371397356, 76895064, 112248496, 75470519, 78168764, 
timSort_Rusev,1460792436,37513,4811025,150577187,57481, 55696, 75734, 16557, 26955, 15084, 15084, 8095328, 5538185, 10604645, 2098734, 3162159, 2070655, 2107473, 271694405, 156521844, 329182279, 66312732, 95830530, 67204857, 67293668, 
timSort_Rusev ALIGNED ,1530114030,31533,4578234,163333569,47574, 46949, 64845, 13924, 22091, 12763, 12585, 7066900, 5477155, 10516541, 1913785, 3144344, 1917355, 2011559, 223857463, 189746491, 383002130, 77264589, 110883753, 77018238, 81562322, 
timSort_Rusev,1574735038,35938,5209474,162089069,55027, 53331, 73369, 15486, 25572, 14504, 14281, 8019386, 6225056, 11938854, 2186503, 3640949, 2263599, 2191970, 255342489, 175348416, 364314799, 77648841, 107657552, 78431180, 75880210, 
timSort_Rusev ALIGNED ,1508065285,35537,5187887,152827871,53554, 53197, 73012, 15620, 24947, 14281, 14147, 7962745, 6199283, 11915834, 2202830, 3601936, 2215623, 2216962, 252094420, 171363975, 326536697, 87575579, 102190996, 65752643, 64280793, 
timSort_Rusev,1398938560,39496,4588021,144397147,104921, 46547, 64042, 13344, 22492, 12629, 12496, 7279815, 5497498, 10424272, 1929777, 3137724, 1923566, 1923492, 223792305, 155280723, 324980497, 67075881, 98118637, 69705397, 71826595, 
timSort_Rusev ALIGNED ,1411024871,31622,4633563,145655993,48332, 46681, 64800, 13968, 22224, 12764, 12585, 7061582, 5542796, 10888446, 1912595, 3167588, 1930298, 1931637, 223461607, 158975524, 327584130, 69357295, 97992338, 67894370, 74326688, 
timSort_Rusev,1514062476,43704,5286655,152417735,109339, 53108, 73325, 15530, 25482, 14682, 14459, 8305009, 6254399, 11864436, 2232061, 3604205, 2338092, 2408381, 259204201, 157056494, 333019446, 80001661, 100313025, 68711519, 68617799, 
timSort_Rusev ALIGNED ,1523069848,35084,5290315,153746774,47485, 54000, 73235, 15976, 25304, 14370, 15218, 8803993, 6197832, 11867151, 2189143, 3611457, 2185759, 2176871, 257264642, 177807004, 339806115, 76757607, 94827724, 64305338, 65458988, 
timSort_Rusev,1390243553,31896,4550936,143676013,48645, 47082, 64979, 14057, 22671, 12986, 12853, 7014721, 5463023, 10447404, 1934760, 3144976, 1922971, 1928698, 221876846, 158950086, 325082697, 65508972, 99323163, 67676135, 67314198, 
