Algo Name : ALL Results averaged from 20 test cycles and if error - no results printed, Total Time , Average Small, Average Big, Average Super Big,  SMALL Avrg RAND_with_Repeats, SMALL Avrg REV_SORTED, SMALL Avrg RAND_NO_REPEATS_SHUFFLED, SMALL Avrg SORTED, SMALL Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SMALL Avrg ONE_NUMBER, SMALL Avrg ONLY_ZEROES, BIG Avrg RAND_with_Repeats, BIG Avrg REV_SORTED, BIG Avrg RAND_NO_REPEATS_SHUFFLED, BIG Avrg SORTED, BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, BIG Avrg ONE_NUMBER, BIG Avrg ONLY_ZEROES, SUP BIG Avrg RAND_with_Repeats, SUP BIG Avrg REV_SORTED, SUP BIG Avrg RAND_NO_REPEATS_SHUFFLED, SUP BIG Avrg SORTED, SUP BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SUP BIG Avrg ONE_NUMBER, SUP BIG Avrg ONLY_ZEROES, 
timSort_Rusev_WithMerge,1084514510,24609,3566833,111882541,60159, 2499, 76181, 1785, 27714, 2053, 1874, 8085882, 246238, 12277883, 195696, 3765016, 200642, 196477, 277605462, 6185522, 374824833, 4820781, 110126406, 4873443, 4741341, 
timSort_Rusev_WithMerge ALIGNED ,1065383125,24915,3585301,108924813,54536, 2722, 79438, 2008, 31507, 2142, 2052, 8351794, 240473, 12176576, 190564, 3733888, 193278, 210535, 257837227, 6170350, 371358531, 4790880, 112637657, 4807838, 4871211, 
timSort_Rusev_WithMerge,1064332114,24029,3501750,109786145,55964, 2410, 76359, 2320, 27223, 1963, 1963, 8140701, 239209, 11938557, 190043, 3624771, 189485, 189485, 268209805, 6068596, 370007176, 4797574, 109834089, 4727953, 4857822, 
timSort_Rusev_WithMerge ALIGNED ,1082594132,24182,3635662,110786526,54625, 2633, 78234, 1874, 27848, 2052, 2008, 8022547, 239209, 12623978, 189522, 3995560, 189410, 189411, 269096575, 7443156, 374442365, 4835061, 110179961, 4772136, 4736432, 
timSort_Rusev_WithMerge,1072823591,23729,3558025,110326915,54982, 2454, 75734, 2052, 26821, 2052, 2008, 8495721, 239618, 11957487, 190266, 3643812, 189783, 189485, 256028430, 5984248, 384523964, 4842649, 111313527, 4786863, 4808730, 
timSort_Rusev_WithMerge ALIGNED ,1068889147,24781,3564793,109673107,55875, 2543, 77966, 2097, 30883, 2097, 2008, 8139957, 245420, 12286995, 196998, 3690710, 203655, 189820, 257513670, 6039588, 380457407, 4804268, 108738011, 4737771, 5421035, 
timSort_Rusev_WithMerge,1088752880,32598,3611637,111870491,98718, 2900, 92559, 2052, 27535, 2186, 2231, 8045233, 239543, 12646106, 202316, 3764421, 194320, 189522, 280725000, 6353772, 379134170, 4822566, 103540118, 4242394, 4275419, 
timSort_Rusev_WithMerge ALIGNED ,962234828,22766,3139047,99565878,48511, 2320, 75600, 1651, 27758, 1740, 1785, 7208893, 212432, 10787883, 172638, 3245539, 168621, 177324, 228240437, 5463879, 337814341, 4306213, 111247922, 5043923, 4844434, 
timSort_Rusev_WithMerge,1053544942,30194,3524309,107912763,99745, 2543, 76047, 2097, 26821, 2052, 2052, 8235909, 241924, 12015132, 190155, 3607589, 189745, 189708, 255246983, 6082877, 369190919, 4866302, 110459335, 4802036, 4740895, 
timSort_Rusev_WithMerge ALIGNED ,1071194216,23551,3558407,110091340,54402, 2454, 75422, 2008, 26687, 2008, 1874, 8377679, 249511, 12064447, 198150, 3639870, 189597, 189597, 269214393, 6127952, 370404371, 4771689, 110623569, 4782400, 4715011, 
timSort_Rusev_WithMerge,1056345375,32055,3544115,108056531,107153, 2499, 80643, 1918, 27758, 2275, 2142, 8353691, 239395, 12018963, 190527, 3621238, 193799, 191196, 256296202, 6001653, 369338193, 4754730, 110192456, 4854252, 4958236, 
timSort_Rusev_WithMerge ALIGNED ,1055226541,24195,3499960,108505176,54670, 2900, 77921, 1963, 27758, 2186, 1963, 8061820, 240287, 12015987, 190489, 3610638, 190303, 190192, 257713159, 6076183, 371637905, 4752945, 109701542, 4772136, 4882368, 
timSort_Rusev_WithMerge,1078870328,24348,3590588,110793794,55696, 2499, 74886, 1918, 29321, 1919, 4195, 8096073, 265540, 12420769, 208787, 3749136, 199192, 194618, 259513030, 7185203, 382917335, 4749821, 111725002, 4748482, 4717689, 
timSort_Rusev_WithMerge ALIGNED ,1051933409,23493,3495152,108099439,54357, 2499, 75511, 1963, 26464, 1829, 1829, 8110763, 238725, 11944805, 190304, 3602308, 189374, 189783, 254910484, 6093588, 368644666, 4724830, 112795196, 4808730, 4718581, 
timSort_Rusev_WithMerge,1060745767,25846,3549200,108686241,69843, 2499, 75779, 1919, 26911, 1919, 2052, 8115746, 239506, 12299342, 191419, 3616366, 191642, 190378, 257709590, 6112332, 371450019, 4757854, 109651558, 6310929, 4811409, 
timSort_Rusev_WithMerge ALIGNED ,1056996960,23742,3504205,108711679,55473, 2454, 75734, 1919, 26732, 1919, 1963, 8069741, 240176, 12039195, 190787, 3607849, 190415, 191270, 256587627, 6051191, 373863086, 4770350, 110115695, 4763210, 4830598, 
