Algo Name : ALL Results averaged from 20 test cycles and if error - no results printed, Total Time , Average Small, Average Big, Average Super Big,  SMALL Avrg RAND_with_Repeats, SMALL Avrg REV_SORTED, SMALL Avrg RAND_NO_REPEATS_SHUFFLED, SMALL Avrg SORTED, SMALL Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SMALL Avrg ONE_NUMBER, SMALL Avrg ONLY_ZEROES, BIG Avrg RAND_with_Repeats, BIG Avrg REV_SORTED, BIG Avrg RAND_NO_REPEATS_SHUFFLED, BIG Avrg SORTED, BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, BIG Avrg ONE_NUMBER, BIG Avrg ONLY_ZEROES, SUP BIG Avrg RAND_with_Repeats, SUP BIG Avrg REV_SORTED, SUP BIG Avrg RAND_NO_REPEATS_SHUFFLED, SUP BIG Avrg SORTED, SUP BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SUP BIG Avrg ONE_NUMBER, SUP BIG Avrg ONLY_ZEROES, 
timSort_Rusev_With_Checks,950088728,24252,3218683,96860238,61855, 2588, 72789, 1919, 26420, 2142, 2053, 7793044, 221915, 10645630, 175278, 3345694, 174125, 175092, 252332290, 5357662, 314859626, 4176344, 92827471, 4183484, 4284791, 
timSort_Rusev_With_Checks ALIGNED ,900661209,19885,2959688,92950773,45476, 2186, 64086, 1829, 22180, 1695, 1740, 6812851, 211241, 10174649, 167840, 3014624, 167691, 168919, 223770883, 5466556, 316044515, 4173666, 92856480, 4170095, 4173220, 
timSort_Rusev_With_Checks,908346706,28039,3009794,93365883,99253, 2276, 66228, 1829, 23073, 1830, 1785, 7068276, 211874, 10202096, 168324, 3082496, 167766, 167729, 219682458, 5357663, 320863064, 4282114, 94837097, 4281667, 4257121, 
timSort_Rusev_With_Checks ALIGNED ,891806459,19642,2955645,91736748,44940, 2231, 62881, 2141, 21779, 1829, 1696, 6815232, 212581, 10141326, 168770, 3015814, 167803, 167989, 216864609, 5379084, 315982481, 4184823, 91350265, 4189732, 4206245, 
timSort_Rusev_With_Checks,905761370,19662,2971276,93542548,45655, 2142, 62836, 1740, 21823, 1651, 1785, 6787116, 212394, 10205369, 167803, 3088893, 169402, 167952, 219023294, 5528590, 320821559, 4345932, 96538339, 4314692, 4225435, 
timSort_Rusev_With_Checks ALIGNED ,904971884,19885,2961362,93546501,44673, 2276, 64889, 1785, 22135, 1740, 1695, 6791132, 211316, 10213922, 167766, 3009417, 168361, 167617, 223373689, 5358108, 320877790, 4195088, 92619056, 4194196, 4207584, 
timSort_Rusev_With_Checks,962993980,19725,2998813,101387554,46101, 2186, 62836, 1695, 21734, 1829, 1696, 6898650, 213399, 10289568, 176915, 3075505, 168361, 169291, 220537989, 5474589, 361685729, 4229452, 107950762, 4881030, 4953328, 
timSort_Rusev_With_Checks ALIGNED ,995342113,23123,3457626,100468970,53956, 2633, 73458, 1829, 26018, 2008, 1963, 7797247, 253341, 11871354, 200642, 3686061, 200382, 194357, 255310356, 6182845, 329770038, 4848004, 98573849, 4336561, 4261138, 
timSort_Rusev_With_Checks,934169255,19866,2998292,97274582,47752, 2097, 62524, 1561, 21823, 1651, 1651, 7064817, 211651, 10187220, 167803, 3021020, 167505, 168026, 229537791, 5411663, 322471477, 4193302, 110566444, 4503472, 4237931, 
timSort_Rusev_With_Checks ALIGNED ,1041440769,22314,3415728,107565362,51858, 2365, 71316, 1963, 24724, 1963, 2008, 7810003, 238837, 11552445, 189708, 3739392, 190192, 189522, 263894666, 6148035, 362593475, 4852913, 105866607, 4843988, 4757854, 
