Algo Name : ALL Results averaged from 20 test cycles and if error - no results printed, Total Time , Average Small, Average Big, Average Super Big,  SMALL Avrg RAND_with_Repeats, SMALL Avrg REV_SORTED, SMALL Avrg RAND_NO_REPEATS_SHUFFLED, SMALL Avrg SORTED, SMALL Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SMALL Avrg ONE_NUMBER, SMALL Avrg ONLY_ZEROES, BIG Avrg RAND_with_Repeats, BIG Avrg REV_SORTED, BIG Avrg RAND_NO_REPEATS_SHUFFLED, BIG Avrg SORTED, BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, BIG Avrg ONE_NUMBER, BIG Avrg ONLY_ZEROES, SUP BIG Avrg RAND_with_Repeats, SUP BIG Avrg REV_SORTED, SUP BIG Avrg RAND_NO_REPEATS_SHUFFLED, SUP BIG Avrg SORTED, SUP BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SUP BIG Avrg ONE_NUMBER, SUP BIG Avrg ONLY_ZEROES, 
timSort_Rusev_With_Checks_imprMerge,865991051,18654,2854397,89273696,43780, 2454, 60739, 1695, 18565, 1606, 1740, 6546903, 212320, 9901411, 168770, 2814651, 167729, 168993, 207612209, 5290273, 303064735, 4167418, 94885296, 5130950, 4764994, 
timSort_Rusev_With_Checks_imprMerge ALIGNED ,973567822,20707,3219798,100236454,48332, 2588, 67344, 1963, 20752, 2052, 1919, 7391127, 239097, 11186268, 189634, 3153084, 189968, 189411, 234221115, 6024860, 351757206, 4804268, 95159761, 4886384, 4801590, 
timSort_Rusev_With_Checks_imprMerge,954801501,20618,3300241,96591128,47083, 2633, 67478, 2052, 21020, 2097, 1963, 7452268, 239320, 11624483, 189485, 3216531, 189708, 189894, 234678558, 6289061, 335914056, 4902451, 85777047, 4314246, 4262477, 
timSort_Rusev_With_Checks_imprMerge ALIGNED ,864001076,18119,2913508,88285428,41192, 2231, 59579, 1740, 18610, 1695, 1785, 6557242, 222771, 10218943, 174497, 2869730, 174758, 176617, 213043955, 5369712, 304607545, 4330758, 82234875, 4197319, 4213832, 
timSort_Rusev_With_Checks_imprMerge,965907773,21670,3231136,98996481,53956, 2454, 68505, 1963, 20886, 1874, 2053, 7395218, 240585, 11228219, 191568, 3183431, 189485, 189448, 233853376, 5973090, 345311945, 4760978, 93585711, 4751606, 4738664, 
timSort_Rusev_With_Checks_imprMerge ALIGNED ,988712081,20331,3235216,102218665,46592, 2454, 66630, 2052, 20886, 1919, 1785, 7374725, 239618, 11290215, 189782, 3168853, 193836, 189485, 233558380, 6149374, 357972184, 4918963, 104288093, 4341023, 4302642, 
timSort_Rusev_With_Checks_imprMerge,854609421,18055,2859577,87591581,41549, 2142, 58865, 1829, 18342, 1785, 1874, 6615110, 211576, 9890402, 167877, 2796799, 167654, 167617, 207098089, 5333563, 304053704, 4185269, 83957539, 4314246, 4198658, 
timSort_Rusev_With_Checks_imprMerge ALIGNED ,864001506,18023,2863843,88882431,41504, 2276, 59132, 1785, 18163, 1651, 1651, 6553113, 213213, 9979696, 167877, 2797320, 167691, 167989, 210940610, 5312588, 309360490, 4234808, 83785719, 4290147, 4252659, 
timSort_Rusev_With_Checks_imprMerge,875321994,18833,2963577,89294735,42040, 2409, 61766, 1829, 20172, 1829, 1785, 6574944, 232217, 10339552, 181043, 3057281, 179964, 180039, 209891838, 6851827, 309377003, 4313354, 86039462, 4243733, 4345932, 
timSort_Rusev_With_Checks_imprMerge ALIGNED ,884302620,18125,2861617,91808281,41593, 2186, 59623, 1696, 18387, 1740, 1651, 6574163, 213436, 9941874, 170444, 2793415, 169588, 168398, 209564264, 5318835, 319061408, 4201782, 94842452, 4899327, 4769904, 
